dct:description,rdfs:label,skos:notation,Comment,Constraints,id,name
"'IUPAC: 1,1,1-trichloro-2,2,2-trifluoroethane, PubChem CID: 9635, CAS Number: 354-58-5, in gas phase'@en","Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)",'12016',,,1,"Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)"
"'IUPAC: dibromo(difluoro)methane, PubChem CID: 6382, CAS Number: 75-61-6, in gas phase'@en","CBr2F2 (dibromodifluoromethane, Halon 1202)",'12017',,,2,"CBr2F2 (dibromodifluoromethane, Halon 1202)"
"'IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2, in gas phase'@en","C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)",'12018',,,3,"C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)"
"'IUPAC: 1,1-dichloro-2-fluoroethane, PubChem CID: 67936, CAS Number: 430-53-5, in gas phase'@en","C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)",'12019',,,4,"C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)"
'All pollen taxa'@en,Total pollen,'12022',with Constraint,,5,Total pollen
'Pine family pollen'@en,Total Pinaceae,'12023',with Constraint,,6,Total Pinaceae
'Fir pollen'@en,Abies,'12024',,,7,Abies
'Spruce pollen'@en,Picea,'12025',,,8,Picea
'Larch pollen'@en,Larix,'12026',,,9,Larix
'Pine pollen'@en,Pinus,'12027',,,10,Pinus
'Cypress family pollen'@en,Total Cupressaceae,'12028',,,11,Total Cupressaceae
'Palm family pollen'@en,Total Arecaceae,'12029',,,12,Total Arecaceae
'Plane tree pollen'@en,Platanus,'12030',,,13,Platanus
'Pellitory pollen'@en,Parietaria,'12031',,,14,Parietaria
'Nettle pollen'@en,Urtica,'12032',,,15,Urtica
'Sweet chestnut pollen'@en,Castanea,'12033',,,16,Castanea
'Beech pollen'@en,Fagus,'12034',,,17,Fagus
'Oak pollen'@en,Quercus,'12035',,,18,Quercus
'Birch family pollen'@en,Total Betulaceae,'12036',,,19,Total Betulaceae
'Alder pollen'@en,Alnus,'12037',,,20,Alnus
'Birch pollen'@en,Betula,'12038',,,21,Betula
'Hornbeam pollen'@en,Carpinus,'12039',,,22,Carpinus
'Hazel pollen'@en,Corylus,'12040',,,23,Corylus
'Amaranth family pollen'@en,Total Amaranthaceae,'12041',,,24,Total Amaranthaceae
'Chenopodium (goosefoot) pollen'@en,Chenopodium,'12042',,,25,Chenopodium
'Poplar pollen'@en,Populus,'12043',,,26,Populus
'Willow pollen'@en,Salix,'12044',,,27,Salix
'Olive family pollen'@en,Total Oleaceae,'12045',,,28,Total Oleaceae
'Olive pollen'@en,Olea,'12046',,,29,Olea
'Ash pollen'@en,Fraxinus,'12047',,,30,Fraxinus
'Aster family pollen'@en,Total Asteraceae,'12048',,,31,Total Asteraceae
'Ragweed pollen'@en,Ambrosia,'12049',,,32,Ambrosia
'Mugwort pollen'@en,Artemisia,'12050',,,33,Artemisia
'Solidago (goldenrod) pollen'@en,Solidago,'12051',,,34,Solidago
'Grasses pollen'@en,Total Poaceae,'12052',,,35,Total Poaceae
'Secale pollen'@en,Secale,'12053',,,36,Secale
'Maize pollen'@en,Zea mays,'12054',,,37,Zea mays
'Walnut tree pollen'@en,Juglans,'12055',,,38,Juglans
'Elm pollen'@en,Ulmus,'12056',,,39,Ulmus
'Maple pollen'@en,Acer,'12057',,,40,Acer
'Aesculus pollen'@en,Aesculus,'12058',,,41,Aesculus
'Brassica pollen'@en,Brassica,'12059',,,42,Brassica
'Plantain pollen'@en,Plantago,'12060',,,43,Plantago
'Sambucus (elder) pollen'@en,Sambucus,'12061',,,44,Sambucus
"'Rumex (dock, sorrel) pollen'@en",Rumex,'12062',,,45,Rumex
'Linden pollen'@en,Tilia,'12063',,,46,Tilia
'Hop pollen'@en,Humulus,'12064',,,47,Humulus
'Yew pollen'@en,Taxus,'12065',,,48,Taxus
'Sea-buckthorn pollen'@en,Hippophae,'12066',,,49,Hippophae
'Holly pollen'@en,Ilex,'12067',,,50,Ilex
'Privet pollen'@en,Ligustrum,'12068',,,51,Ligustrum
'Rush family pollen'@en,Total Juncaceae,'12069',with Constraint,,52,Total Juncaceae
'Sedge family pollen'@en,Total Cyperaceae,'12070',with Constraint,,53,Total Cyperaceae
'Heather family pollen'@en,Total Ericaceae,'12071',with Constraint,,54,Total Ericaceae
'Rose family pollen'@en,Total Rosaceae,'12072',with Constraint,,55,Total Rosaceae
'Melandrium pollen'@en,Silene,'12073',,,56,Silene
'Buttercup family pollen'@en,Total Ranunculaceae,'12074',with Constraint,,57,Total Ranunculaceae
"'Celery, carrot or parsley family pollen'@en",Total Umbelliferae,'12075',with Constraint,,58,Total Umbelliferae
"'Cabbage family (mustards, crucifers) pollen'@en",Total Brassicaceae,'12076',with Constraint,,59,Total Brassicaceae
'Hophornbeam pollen'@en,Ostrya,'12077',,,60,Ostrya
'Cedar family pollen'@en,Cedrus,'12078',,,61,Cedrus
'Box pollen'@en,Buxus,'12079',,,62,Buxus
'Ginkgo pollen'@en,Ginkgo,'12080',,,63,Ginkgo
'Sweetgum pollen'@en,Liquidambar,'12081',,,64,Liquidambar
'Mercuries pollen'@en,Mercurialis,'12082',,,65,Mercurialis
'Mulberry family pollen'@en,Total Moraceae,'12083',,,66,Total Moraceae
'Alternaria spores'@en,Alternaria,'12084',,,67,Alternaria
'Cladosporium spores'@en,Cladosporium,'12085',,,68,Cladosporium
"'IUPAC: nitrogen trifluoride, PubChem CID: 24553, CAS Number: 7783-54-2, in gas phase'@en",NF3 (nitrogen trifluoride),'12086',,,69,NF3 (nitrogen trifluoride)
"'IUPAC: deuteriomethane, PubChem CID: 12669, CAS Number: 676-49-3, in gas phase'@en","CH3D (monodeuterated methane, methane-d1)",'12087',,,70,"CH3D (monodeuterated methane, methane-d1)"
"'IUPAC: chloro(trifluoro)methane, PubChem CID: 6392, CAS Number: 75-72-9, in gas phase'@en","CClF3 (chlorotrifluoromethane, CFC-13)",'12088',,,71,"CClF3 (chlorotrifluoromethane, CFC-13)"
"'IUPAC: 2-chloro-1,1,1,2-tetrafluoroethane, PubChem CID: 17822, CAS Number: 2837-89-0, in gas phase'@en","C2HClF4 (1-chloro-1,2,2,2-tetrafluoroethane, HCFC-124)",'12089',,,72,"C2HClF4 (1-chloro-1,2,2,2-tetrafluoroethane, HCFC-124)"
"'IUPAC: 1,1,1,2,2,3,4,5,5,5-decafluoropentane, PubChem CID: 86240, CAS Number: 138495-42-8, in gas phase'@en","C5H2F10 (1,1,1,2,2,3,4,5,5,5-decafluoropentane, HFC-43-10-mee)",'12090',,,73,"C5H2F10 (1,1,1,2,2,3,4,5,5,5-decafluoropentane, HFC-43-10-mee)"
"'IUPAC: 1,1,2,2,3,3,4,4-octafluorocyclobutane, PubChem CID: 8263, CAS Number: 115-25-3, in gas phase'@en","C4F8 (octafluorocyclobutane, PFC-318)",'12091',,,74,"C4F8 (octafluorocyclobutane, PFC-318)"
"'IUPAC: Propan-1-ol, PubChem CID: 1031, CAS Number: 71-23-8, in gas phase'@en",C3H8O (1-propanol),'12092',,,75,C3H8O (1-propanol)
"'IUPAC: Propan-2-ol, PubChem CID: 3776, CAS Number: 67-63-0, in gas phase'@en",C3H8O (2-propanol),'12093',,,76,C3H8O (2-propanol)
"'IUPAC: Furan, PubChem CID: 8029, CAS Number: 110-00-9, in gas phase'@en",C4H4O (furan),'12094',,,77,C4H4O (furan)
"'IUPAC: 2-Methylfuran, PubChem CID: 10797, CAS Number: 534-22-5, in gas phase'@en",C5H6O (2-methylfuran),'12095',,,78,C5H6O (2-methylfuran)
"'IUPAC: 3-Methylfuran, PubChem CID: 13587, CAS Number: 930-27-8, in gas phase'@en",C5H6O (3-methylfuran),'12096',,,79,C5H6O (3-methylfuran)
"'IUPAC: Prop-2-enenitrile, PubChem CID: 7855, CAS Number: 107-13-1, in gas phase'@en","C3H3N (2-propenenitrile, acrylonitrile)",'12097',,,80,"C3H3N (2-propenenitrile, acrylonitrile)"
"'IUPAC: Propanenitrile, PubChem CID: 7854, CAS Number: 107-12-0, in gas phase'@en",C3H5N (propanenitrile),'12098',,,81,C3H5N (propanenitrile)
"'IUPAC: 2-Methylprop-2-enenitrile, PubChem CID: 31368, CAS Number: 126-98-7, in gas phase'@en","C4H5N (2-methyl-2-propenenitrile, methylacrylonitrile)",'12099',,,82,"C4H5N (2-methyl-2-propenenitrile, methylacrylonitrile)"
"'IUPAC: Methyl nitrate, PubChem CID: 11724, CAS Number: 598-58-3, in gas phase'@en",CH3NO3 (methyl nitrate),'12100',,,83,CH3NO3 (methyl nitrate)
"'IUPAC: Ethyl nitrate, PubChem CID: 12259, CAS Number: 625-58-1, in gas phase'@en",C2H5NO3 (ethyl nitrate),'12101',,,84,C2H5NO3 (ethyl nitrate)
"'IUPAC: Propan-2-yl nitrate, PubChem CID: 15575, CAS Number: 1712-64-7, in gas phase'@en",C3H7NO3 (isopropyl nitrate),'12102',,,85,C3H7NO3 (isopropyl nitrate)
"'IUPAC: Butyl nitrate, PubChem CID: 13567, CAS Number: 928-45-0, in gas phase'@en",C4H9NO3 (n-butyl nitrate),'12103',,,86,C4H9NO3 (n-butyl nitrate)
"'IUPAC: 2-Methylpropyl nitrate, PubChem CID: 10974, CAS Number: 928-45-0, in gas phase'@en",C4H9NO3 (isobutyl nitrate),'12104',,,87,C4H9NO3 (isobutyl nitrate)
"'IUPAC: tert-Butyl nitrite, PubChem CID: 10906, CAS Number: 540-80-7, in gas phase'@en",C4H9NO3 (t-butyl nitrate),'12105',,,88,C4H9NO3 (t-butyl nitrate)
"'IUPAC: Butan-2-yl nitrite, PubChem CID: 13544, CAS Number: 924-43-6, in gas phase'@en","C4H9NO3 (2-butyl nitrate, sec-butyl nitrate)",'12106',,,89,"C4H9NO3 (2-butyl nitrate, sec-butyl nitrate)"
"'IUPAC: 2-Methylbut-3-en-2-ol, PubChem CID: 8257, CAS Number: 115-18-4, in gas phase'@en",C5H10O (2-methyl-3-buten-2-ol),'12107',,,90,C5H10O (2-methyl-3-buten-2-ol)
"'IUPAC: Octane, PubChem CID: 356, CAS Number: 111-65-9, in gas phase'@en",C8H18 (n-octane),'12108',,,91,C8H18 (n-octane)
"'IUPAC: 2,2,4-Trimethylpentane, PubChem CID: 10907, CAS Number: 540-84-1, in gas phase'@en","C8H18 (2,2,4-trimethylpentane)",'12109',,,92,"C8H18 (2,2,4-trimethylpentane)"
"'IUPAC: (2E)-but-2-enal, PubChem CID: 447466, CAS Number: 123-73-9, in gas phase'@en","C4H6O ((E)-crotonaldehyde, trans-2-butenal)",'12110',,,93,"C4H6O ((E)-crotonaldehyde, trans-2-butenal)"
"'IUPAC: (Z)-but-2-enal, PubChem CID: 673950, CAS Number: 15798-64-8, in gas phase'@en","C4H6O ((Z)-crotonaldehyde, cis-2-butenal)",'12111',,,94,"C4H6O ((Z)-crotonaldehyde, cis-2-butenal)"
"'IUPAC: But-2-enal, PubChem CID: 20138, CAS Number: 4170-30-3, in gas phase'@en","C4H6O (crotonaldehyde, 2-butenal)",'12112',,,95,"C4H6O (crotonaldehyde, 2-butenal)"
"'IUPAC: 1,1-Dichloroethene, PubChem CID: 6366, CAS Number: 75-35-4, in gas phase'@en","C2H2Cl2 (1,1-dichloroethene)",'12113',,,96,"C2H2Cl2 (1,1-dichloroethene)"
"'IUPAC: (Z)-1,2-dichloroethene, PubChem CID: 643833, CAS Number: 156-59-2, in gas phase'@en","C2H2Cl2 ((Z)-1,2-dichloroethene, cis-1,2-dichloroethene)",'12114',,,97,"C2H2Cl2 ((Z)-1,2-dichloroethene, cis-1,2-dichloroethene)"
"'IUPAC: (E)-1,2-dichloroethene, PubChem CID: 638186, CAS Number: 156-60-5, in gas phase'@en","C2H2Cl2 ((E)-1,2-dichloroethene, trans-1,2-dichloroethene)",'12115',,,98,"C2H2Cl2 ((E)-1,2-dichloroethene, trans-1,2-dichloroethene)"
"'IUPAC: 1,2-dichloroethene, PubChem CID: 10900, CAS Number: 540-9-0, in gas phase'@en","C2H2Cl2 (1,2-dichloroethene)",'12116',,,99,"C2H2Cl2 (1,2-dichloroethene)"
"'IUPAC: 1,1-Dichloroethane, PubChem CID: 6365, CAS Number: 75-34-3, in gas phase'@en","C2H4Cl2 (1,1-dichloroethane)",'12117',,,100,"C2H4Cl2 (1,1-dichloroethane)"
"'IUPAC: 1,2-Dichloroethane, PubChem CID: 11, CAS Number: 107-06-2, in gas phase'@en","C2H4Cl2 (1,2-dichloroethane)",'12118',,,101,"C2H4Cl2 (1,2-dichloroethane)"
"'IUPAC: dibromo(chloro)methane, PubChem CID: 31296, CAS Number: 124-48-1, in gas phase'@en",CHBr2Cl (dibromochloromethane),'12119',,,102,CHBr2Cl (dibromochloromethane)
"'IUPAC: bromo(dichloro)methane, PubChem CID: 6359, CAS Number: 75-27-4, in gas phase'@en",CHBrCl2 (bromodichloromethane),'12120',,,103,CHBrCl2 (bromodichloromethane)
"'IUPAC: chloro(iodo)methane, PubChem CID: 11644, CAS Number: 593-71-5, in gas phase'@en",CH2ClI (chloroiodomethane),'12121',,,104,CH2ClI (chloroiodomethane)
"'IUPAC: diiodomethane, PubChem CID: 6346, CAS Number: 75-11-6, in gas phase'@en",CH2I2 (diiodomethane),'12122',,,105,CH2I2 (diiodomethane)
"'IUPAC: furan-2-carbaldehyde, PubChem CID: 7362, CAS Number: 98-01-1, in gas phase'@en",C5H4O2 (furfural),'12123',,,106,C5H4O2 (furfural)
"'IUPAC: furan-3-carbaldehyde, PubChem CID: 10351, CAS Number: 498-60-2, in gas phase'@en",C5H4O2 (3-furaldehyde),'12124',,,107,C5H4O2 (3-furaldehyde)
"'IUPAC: styrene, PubChem CID: 7501, CAS Number: 100-42-5, in gas phase'@en",C8H8 (styrene),'12125',,,108,C8H8 (styrene)
"'IUPAC: ethynylbenzene, PubChem CID: 10821, CAS Number: 536-74-3, in gas phase'@en",C8H6 (ethynylbenzene),'12126',,,109,C8H6 (ethynylbenzene)
"'IUPAC: chlorobenzene, PubChem CID: 7964, CAS Number: 108-90-7, in gas phase'@en",C6H5Cl (chlorobenzene),'12127',,,110,C6H5Cl (chlorobenzene)
"'IUPAC: 1,7,7-trimethyltricyclo[2.2.1.02,6]heptane, PubChem CID: 79035, CAS Number: 508-32-7, in gas phase'@en",C10H16 (tricyclene),'12128',,,111,C10H16 (tricyclene)
"'IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8, in gas phase'@en",C10H16 (alpha-pinene),'12129',,,112,C10H16 (alpha-pinene)
"'IUPAC: 6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane, PubChem CID: 14896, CAS Number: 127-91-3, in gas phase'@en",C10H16 (beta-pinene),'12130',,,113,C10H16 (beta-pinene)
"'IUPAC: 7-methyl-3-methylideneocta-1, PubChem CID: 31253, CAS Number: 123-35-3, in gas phase'@en",C10H16 (myrcene),'12131',,,114,C10H16 (myrcene)
"'IUPAC: 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane, PubChem CID: 6616, CAS Number: 79-92-5, in gas phase'@en",C10H16 (camphene),'12132',,,115,C10H16 (camphene)
"'IUPAC: (4R)-1-methyl-4-prop-1-en-2-ylcyclohexene, PubChem CID: 440917, CAS Number: 5989-27-5, in gas phase'@en",C10H16 (D-limonene),'12133',,,116,C10H16 (D-limonene)
"'IUPAC: 3,7,7-trimethylbicyclo[4.1.0]hept-3-ene, PubChem CID: 26049, CAS Number: 13466-78-9, in gas phase'@en",C10H16 (3-carene),'12134',,,117,C10H16 (3-carene)
"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en",C2H2O2 (glyoxal),'12135',,,118,C2H2O2 (glyoxal)
"'IUPAC: methyl formate, PubChem CID: 7865, CAS Number: 107-31-3, in gas phase'@en",C2H4O2 (methyl formate),'12136',,,119,C2H4O2 (methyl formate)
"'IUPAC: 2-hydroxyacetaldehyde, PubChem CID: 756, CAS Number: 141-46-8, in gas phase'@en",C2H4O2 (glycolaldehyde),'12137',,,120,C2H4O2 (glycolaldehyde)
"'IUPAC: methyl acetate, PubChem CID: 6584, CAS Number: 79-20-9, in gas phase'@en",C3H6O2 (methyl acetate),'12138',,,121,C3H6O2 (methyl acetate)
"'IUPAC: ethyl formate, PubChem CID: 8025, CAS Number: 109-94-4, in gas phase'@en",C3H6O2 (ethyl formate),'12139',,,122,C3H6O2 (ethyl formate)
"'IUPAC: 1-hydroxypropan-2-one, PubChem CID: 8299, CAS Number: 116-09-6, in gas phase'@en",C3H6O2 (hydroxyacetone),'12140',,,123,C3H6O2 (hydroxyacetone)
"'IUPAC: 1,3-dioxolane, PubChem CID: 12586, CAS Number: 646-06-0, in gas phase'@en","C3H6O2 (1,3-dioxolane)",'12141',,,124,"C3H6O2 (1,3-dioxolane)"
"'IUPAC: ethyl acetate, PubChem CID: 8857, CAS Number: 141-78-6, in gas phase'@en",C4H8O2 (ethyl acetate),'12142',,,125,C4H8O2 (ethyl acetate)
"'IUPAC: methyl propanoate, PubChem CID: 11124, CAS Number: 554-12-1, in gas phase'@en",C4H8O2 (methyl propionate),'12143',,,126,C4H8O2 (methyl propionate)
"'IUPAC: 1,4-xylene, PubChem CID: 7809, CAS Number: 106-42-3, in gas phase'@en",C8H10 (p-xylene),'12144',,,127,C8H10 (p-xylene)
"'IUPAC: ozone, PubChem CID: 24823, CAS Number: 10028-15-6, in gas phase'@en",O3 (ozone),'12164',,,128,O3 (ozone)
''@en,Water vapour,'12165',,,129,Water vapour
"'Aggregate state of cloud particles, either water droplets/drops, snowflakes, ice/snow crystals, or mixed.'@en",Cloud phase,'12167',,,130,Cloud phase
"'IUPAC: n/a, PubChem CID: 24824, CAS Number: 10028-17-8'@en",Tritium [H-3],'12170',,,131,Tritium [H-3]
"'IUPAC: n/a, PubChem CID: 26873, CAS Number: 14762-75-5'@en",Carbon [C-14],'12171',,,132,Carbon [C-14]
"'IUPAC: sodium-22, PubChem CID: 6328543, CAS Number: 13966-32-0'@en",Sodium [Na-22],'12172',,,133,Sodium [Na-22]
"'IUPAC: sodium-24, PubChem CID: 6335498, CAS Number: 13982-04-2'@en",Sodium [Na-24],'12173',,,134,Sodium [Na-24]
"'IUPAC: n/a, PubChem CID: 167013, CAS Number: 14158-34-0'@en",Chlorine [Cl-38],'12174',,,135,Chlorine [Cl-38]
"'IUPAC: potassium-40, PubChem CID: 6328542, CAS Number: 13966-00-2'@en",Potassium [K-40],'12175',,,136,Potassium [K-40]
"'IUPAC: potassium-42, PubChem CID: 11607897, CAS Number: 14378-21-3'@en",Potassium [K-42],'12176',,,137,Potassium [K-42]
"'IUPAC: scandium-46, PubChem CID: 107673, CAS Number: 13967-63-0'@en",Scandium [Sc-46],'12177',,,138,Scandium [Sc-46]
"'IUPAC: chromium-51, PubChem CID: 104786, CAS Number: 14392-02-0'@en",Chromium [Cr-51],'12178',,,139,Chromium [Cr-51]
"'IUPAC: manganese-53, PubChem CID: 167227, CAS Number: 14999-33-8'@en",Manganese [Mn-53],'12179',,,140,Manganese [Mn-53]
"'IUPAC: manganese-56, PubChem CID: 114694, CAS Number: 14681-52-8'@en",Manganese [Mn-56],'12180',,,141,Manganese [Mn-56]
"'IUPAC: iron-59, PubChem CID: 104784, CAS Number: 14596-12-4'@en",Iron [Fe-59],'12181',,,142,Iron [Fe-59]
"'IUPAC: cobalt-56, PubChem CID: 166998, CAS Number: 14093-03-9'@en",Cobalt [Co-56],'12182',,,143,Cobalt [Co-56]
"'IUPAC: cobalt-57, PubChem CID: 104851, CAS Number: 13981-50-5'@en",Cobalt [Co-57],'12183',,,144,Cobalt [Co-57]
"'IUPAC: cobalt-58, PubChem CID: 104844, CAS Number: 13981-38-9'@en",Cobalt [Co-58],'12184',,,145,Cobalt [Co-58]
"'IUPAC: cobalt-60, PubChem CID: 61492, CAS Number: 10198-40-0'@en",Cobalt [Co-60],'12185',,,146,Cobalt [Co-60]
"'IUPAC: zinc-65, PubChem CID: 91574, CAS Number: 13982-39-3'@en",Zinc [Zn-65],'12186',,,147,Zinc [Zn-65]
"'IUPAC: gallium-67, PubChem CID: 5464084, CAS Number: 14119-09-6'@en",Gallium [Ga-67],'12187',,,148,Gallium [Ga-67]
"'IUPAC: selenium-75, PubChem CID: 6328176, CAS Number: 14265-71-5'@en",Selenium [Se-75],'12188',,,149,Selenium [Se-75]
"'IUPAC: strontium-85, PubChem CID: 5464271, CAS Number: 13967-73-2'@en",Strontium [Sr-85],'12189',,,150,Strontium [Sr-85]
"'IUPAC: strontium-89, PubChem CID: 5388880, CAS Number: 14158-27-1'@en",Strontium [Sr-89],'12190',,,151,Strontium [Sr-89]
"'IUPAC: strontium-90, PubChem CID: 5486204, CAS Number: 10098-97-2'@en",Strontium [Sr-90],'12191',,,152,Strontium [Sr-90]
"'IUPAC: strontium-91, PubChem CID: 6337043, CAS Number: 14331-91-0'@en",Strontium [Sr-91],'12192',,,153,Strontium [Sr-91]
"'IUPAC: yttrium-88, PubChem CID: 105173, CAS Number: 13982-36-0'@en",Yttrium [Y-88],'12193',,,154,Yttrium [Y-88]
"'Metastable (excited) state of yttrium-90 isotope, IUPAC: yttrium-90, PubChem CID: 104760, CAS Number: 10098-91-6'@en",Yttrium [Y-90m],'12194',,,155,Yttrium [Y-90m]
"'IUPAC: zirconium-95, PubChem CID: 91573, CAS Number: 13967-71-0'@en",Zirconium [Zr-95],'12195',,,156,Zirconium [Zr-95]
"'IUPAC: niobium-95, PubChem CID: 104776, CAS Number: 13967-76-5'@en",Niobium [Nb-95],'12196',,,157,Niobium [Nb-95]
"'IUPAC: molybdenum-99, PubChem CID: 104976, CAS Number: 14119-15-4'@en",Molybdenum [Mo-99],'12197',,,158,Molybdenum [Mo-99]
"'Metastable (excited) state of technetium-99 isotope, IUPAC: technetium-99, PubChem CID: 26476, CAS Number: 14133-76-7'@en",Technetium  [Tc-99m],'12198',,,159,Technetium  [Tc-99m]
"'IUPAC: ruthenium-103, PubChem CID: 104749, CAS Number: 13968-53-1'@en",Ruthenium [Ru-103],'12199',,,160,Ruthenium [Ru-103]
"'IUPAC: ruthenium-106, PubChem CID: 26359, CAS Number: 13967-48-1'@en",Ruthenium [Ru-106],'12200',,,161,Ruthenium [Ru-106]
