dct:description,rdfs:label,skos:notation,Comment,Property,Constraints,has_ooi,has_property
"'IUPAC: 1,1,1-trichloro-2,2,2-trifluoroethane, PubChem CID: 9635, CAS Number: 354-58-5, in gas phase'@en","Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)",'12016',,,,true,false
"'IUPAC: dibromo(difluoro)methane, PubChem CID: 6382, CAS Number: 75-61-6, in gas phase'@en","CBr2F2 (dibromodifluoromethane, Halon 1202)",'12017',,,,true,false
"'IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2, in gas phase'@en","C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)",'12018',,,,true,false
"'IUPAC: 1,1-dichloro-2-fluoroethane, PubChem CID: 67936, CAS Number: 430-53-5, in gas phase'@en","C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)",'12019',,,,true,false
'All pollen taxa'@en,Total pollen,'12022',with Constraint,,,true,false
'Pine family pollen'@en,Total Pinaceae,'12023',with Constraint,,,true,false
'Fir pollen'@en,Abies,'12024',,,,true,false
'Spruce pollen'@en,Picea,'12025',,,,true,false
'Larch pollen'@en,Larix,'12026',,,,true,false
'Pine pollen'@en,Pinus,'12027',,,,true,false
'Cypress family pollen'@en,Total Cupressaceae,'12028',,,,true,false
'Palm family pollen'@en,Total Arecaceae,'12029',,,,true,false
'Plane tree pollen'@en,Platanus,'12030',,,,true,false
'Pellitory pollen'@en,Parietaria,'12031',,,,true,false
'Nettle pollen'@en,Urtica,'12032',,,,true,false
'Sweet chestnut pollen'@en,Castanea,'12033',,,,true,false
'Beech pollen'@en,Fagus,'12034',,,,true,false
'Oak pollen'@en,Quercus,'12035',,,,true,false
'Birch family pollen'@en,Total Betulaceae,'12036',,,,true,false
'Alder pollen'@en,Alnus,'12037',,,,true,false
'Birch pollen'@en,Betula,'12038',,,,true,false
'Hornbeam pollen'@en,Carpinus,'12039',,,,true,false
'Hazel pollen'@en,Corylus,'12040',,,,true,false
'Amaranth family pollen'@en,Total Amaranthaceae,'12041',,,,true,false
'Chenopodium (goosefoot) pollen'@en,Chenopodium,'12042',,,,true,false
'Poplar pollen'@en,Populus,'12043',,,,true,false
'Willow pollen'@en,Salix,'12044',,,,true,false
'Olive family pollen'@en,Total Oleaceae,'12045',,,,true,false
'Olive pollen'@en,Olea,'12046',,,,true,false
'Ash pollen'@en,Fraxinus,'12047',,,,true,false
'Aster family pollen'@en,Total Asteraceae,'12048',,,,true,false
'Ragweed pollen'@en,Ambrosia,'12049',,,,true,false
'Mugwort pollen'@en,Artemisia,'12050',,,,true,false
'Solidago (goldenrod) pollen'@en,Solidago,'12051',,,,true,false
'Grasses pollen'@en,Total Poaceae,'12052',,,,true,false
'Secale pollen'@en,Secale,'12053',,,,true,false
'Maize pollen'@en,Zea mays,'12054',,,,true,false
'Walnut tree pollen'@en,Juglans,'12055',,,,true,false
'Elm pollen'@en,Ulmus,'12056',,,,true,false
'Maple pollen'@en,Acer,'12057',,,,true,false
'Aesculus pollen'@en,Aesculus,'12058',,,,true,false
'Brassica pollen'@en,Brassica,'12059',,,,true,false
'Plantain pollen'@en,Plantago,'12060',,,,true,false
'Sambucus (elder) pollen'@en,Sambucus,'12061',,,,true,false
"'Rumex (dock, sorrel) pollen'@en",Rumex,'12062',,,,true,false
'Linden pollen'@en,Tilia,'12063',,,,true,false
'Hop pollen'@en,Humulus,'12064',,,,true,false
'Yew pollen'@en,Taxus,'12065',,,,true,false
'Sea-buckthorn pollen'@en,Hippophae,'12066',,,,true,false
'Holly pollen'@en,Ilex,'12067',,,,true,false
'Privet pollen'@en,Ligustrum,'12068',,,,true,false
'Rush family pollen'@en,Total Juncaceae,'12069',with Constraint,,,true,false
'Sedge family pollen'@en,Total Cyperaceae,'12070',with Constraint,,,true,false
'Heather family pollen'@en,Total Ericaceae,'12071',with Constraint,,,true,false
'Rose family pollen'@en,Total Rosaceae,'12072',with Constraint,,,true,false
'Melandrium pollen'@en,Silene,'12073',,,,true,false
'Buttercup family pollen'@en,Total Ranunculaceae,'12074',with Constraint,,,true,false
"'Celery, carrot or parsley family pollen'@en",Total Umbelliferae,'12075',with Constraint,,,true,false
"'Cabbage family (mustards, crucifers) pollen'@en",Total Brassicaceae,'12076',with Constraint,,,true,false
'Hophornbeam pollen'@en,Ostrya,'12077',,,,true,false
'Cedar family pollen'@en,Cedrus,'12078',,,,true,false
'Box pollen'@en,Buxus,'12079',,,,true,false
'Ginkgo pollen'@en,Ginkgo,'12080',,,,true,false
'Sweetgum pollen'@en,Liquidambar,'12081',,,,true,false
'Mercuries pollen'@en,Mercurialis,'12082',,,,true,false
'Mulberry family pollen'@en,Total Moraceae,'12083',,,,true,false
'Alternaria spores'@en,Alternaria,'12084',,,,true,false
'Cladosporium spores'@en,Cladosporium,'12085',,,,true,false
"'IUPAC: nitrogen trifluoride, PubChem CID: 24553, CAS Number: 7783-54-2, in gas phase'@en",NF3 (nitrogen trifluoride),'12086',,,,true,false
"'IUPAC: deuteriomethane, PubChem CID: 12669, CAS Number: 676-49-3, in gas phase'@en","CH3D (monodeuterated methane, methane-d1)",'12087',,,,true,false
"'IUPAC: chloro(trifluoro)methane, PubChem CID: 6392, CAS Number: 75-72-9, in gas phase'@en","CClF3 (chlorotrifluoromethane, CFC-13)",'12088',,,,true,false
"'IUPAC: 2-chloro-1,1,1,2-tetrafluoroethane, PubChem CID: 17822, CAS Number: 2837-89-0, in gas phase'@en","C2HClF4 (1-chloro-1,2,2,2-tetrafluoroethane, HCFC-124)",'12089',,,,true,false
"'IUPAC: 1,1,1,2,2,3,4,5,5,5-decafluoropentane, PubChem CID: 86240, CAS Number: 138495-42-8, in gas phase'@en","C5H2F10 (1,1,1,2,2,3,4,5,5,5-decafluoropentane, HFC-43-10-mee)",'12090',,,,true,false
"'IUPAC: 1,1,2,2,3,3,4,4-octafluorocyclobutane, PubChem CID: 8263, CAS Number: 115-25-3, in gas phase'@en","C4F8 (octafluorocyclobutane, PFC-318)",'12091',,,,true,false
"'IUPAC: Propan-1-ol, PubChem CID: 1031, CAS Number: 71-23-8, in gas phase'@en",C3H8O (1-propanol),'12092',,,,true,false
"'IUPAC: Propan-2-ol, PubChem CID: 3776, CAS Number: 67-63-0, in gas phase'@en",C3H8O (2-propanol),'12093',,,,true,false
"'IUPAC: Furan, PubChem CID: 8029, CAS Number: 110-00-9, in gas phase'@en",C4H4O (furan),'12094',,,,true,false
"'IUPAC: 2-Methylfuran, PubChem CID: 10797, CAS Number: 534-22-5, in gas phase'@en",C5H6O (2-methylfuran),'12095',,,,true,false
"'IUPAC: 3-Methylfuran, PubChem CID: 13587, CAS Number: 930-27-8, in gas phase'@en",C5H6O (3-methylfuran),'12096',,,,true,false
"'IUPAC: Prop-2-enenitrile, PubChem CID: 7855, CAS Number: 107-13-1, in gas phase'@en","C3H3N (2-propenenitrile, acrylonitrile)",'12097',,,,true,false
"'IUPAC: Propanenitrile, PubChem CID: 7854, CAS Number: 107-12-0, in gas phase'@en",C3H5N (propanenitrile),'12098',,,,true,false
"'IUPAC: 2-Methylprop-2-enenitrile, PubChem CID: 31368, CAS Number: 126-98-7, in gas phase'@en","C4H5N (2-methyl-2-propenenitrile, methylacrylonitrile)",'12099',,,,true,false
"'IUPAC: Methyl nitrate, PubChem CID: 11724, CAS Number: 598-58-3, in gas phase'@en",CH3NO3 (methyl nitrate),'12100',,,,true,false
"'IUPAC: Ethyl nitrate, PubChem CID: 12259, CAS Number: 625-58-1, in gas phase'@en",C2H5NO3 (ethyl nitrate),'12101',,,,true,false
"'IUPAC: Propan-2-yl nitrate, PubChem CID: 15575, CAS Number: 1712-64-7, in gas phase'@en",C3H7NO3 (isopropyl nitrate),'12102',,,,true,false
"'IUPAC: Butyl nitrate, PubChem CID: 13567, CAS Number: 928-45-0, in gas phase'@en",C4H9NO3 (n-butyl nitrate),'12103',,,,true,false
"'IUPAC: 2-Methylpropyl nitrate, PubChem CID: 10974, CAS Number: 928-45-0, in gas phase'@en",C4H9NO3 (isobutyl nitrate),'12104',,,,true,false
"'IUPAC: tert-Butyl nitrite, PubChem CID: 10906, CAS Number: 540-80-7, in gas phase'@en",C4H9NO3 (t-butyl nitrate),'12105',,,,true,false
"'IUPAC: Butan-2-yl nitrite, PubChem CID: 13544, CAS Number: 924-43-6, in gas phase'@en","C4H9NO3 (2-butyl nitrate, sec-butyl nitrate)",'12106',,,,true,false
"'IUPAC: 2-Methylbut-3-en-2-ol, PubChem CID: 8257, CAS Number: 115-18-4, in gas phase'@en",C5H10O (2-methyl-3-buten-2-ol),'12107',,,,true,false
"'IUPAC: Octane, PubChem CID: 356, CAS Number: 111-65-9, in gas phase'@en",C8H18 (n-octane),'12108',,,,true,false
"'IUPAC: 2,2,4-Trimethylpentane, PubChem CID: 10907, CAS Number: 540-84-1, in gas phase'@en","C8H18 (2,2,4-trimethylpentane)",'12109',,,,true,false
"'IUPAC: (2E)-but-2-enal, PubChem CID: 447466, CAS Number: 123-73-9, in gas phase'@en","C4H6O ((E)-crotonaldehyde, trans-2-butenal)",'12110',,,,true,false
"'IUPAC: (Z)-but-2-enal, PubChem CID: 673950, CAS Number: 15798-64-8, in gas phase'@en","C4H6O ((Z)-crotonaldehyde, cis-2-butenal)",'12111',,,,true,false
"'IUPAC: But-2-enal, PubChem CID: 20138, CAS Number: 4170-30-3, in gas phase'@en","C4H6O (crotonaldehyde, 2-butenal)",'12112',,,,true,false
"'IUPAC: 1,1-Dichloroethene, PubChem CID: 6366, CAS Number: 75-35-4, in gas phase'@en","C2H2Cl2 (1,1-dichloroethene)",'12113',,,,true,false
"'IUPAC: (Z)-1,2-dichloroethene, PubChem CID: 643833, CAS Number: 156-59-2, in gas phase'@en","C2H2Cl2 ((Z)-1,2-dichloroethene, cis-1,2-dichloroethene)",'12114',,,,true,false
"'IUPAC: (E)-1,2-dichloroethene, PubChem CID: 638186, CAS Number: 156-60-5, in gas phase'@en","C2H2Cl2 ((E)-1,2-dichloroethene, trans-1,2-dichloroethene)",'12115',,,,true,false
"'IUPAC: 1,2-dichloroethene, PubChem CID: 10900, CAS Number: 540-9-0, in gas phase'@en","C2H2Cl2 (1,2-dichloroethene)",'12116',,,,true,false
"'IUPAC: 1,1-Dichloroethane, PubChem CID: 6365, CAS Number: 75-34-3, in gas phase'@en","C2H4Cl2 (1,1-dichloroethane)",'12117',,,,true,false
"'IUPAC: 1,2-Dichloroethane, PubChem CID: 11, CAS Number: 107-06-2, in gas phase'@en","C2H4Cl2 (1,2-dichloroethane)",'12118',,,,true,false
"'IUPAC: dibromo(chloro)methane, PubChem CID: 31296, CAS Number: 124-48-1, in gas phase'@en",CHBr2Cl (dibromochloromethane),'12119',,,,true,false
"'IUPAC: bromo(dichloro)methane, PubChem CID: 6359, CAS Number: 75-27-4, in gas phase'@en",CHBrCl2 (bromodichloromethane),'12120',,,,true,false
"'IUPAC: chloro(iodo)methane, PubChem CID: 11644, CAS Number: 593-71-5, in gas phase'@en",CH2ClI (chloroiodomethane),'12121',,,,true,false
"'IUPAC: diiodomethane, PubChem CID: 6346, CAS Number: 75-11-6, in gas phase'@en",CH2I2 (diiodomethane),'12122',,,,true,false
"'IUPAC: furan-2-carbaldehyde, PubChem CID: 7362, CAS Number: 98-01-1, in gas phase'@en",C5H4O2 (furfural),'12123',,,,true,false
"'IUPAC: furan-3-carbaldehyde, PubChem CID: 10351, CAS Number: 498-60-2, in gas phase'@en",C5H4O2 (3-furaldehyde),'12124',,,,true,false
"'IUPAC: styrene, PubChem CID: 7501, CAS Number: 100-42-5, in gas phase'@en",C8H8 (styrene),'12125',,,,true,false
"'IUPAC: ethynylbenzene, PubChem CID: 10821, CAS Number: 536-74-3, in gas phase'@en",C8H6 (ethynylbenzene),'12126',,,,true,false
"'IUPAC: chlorobenzene, PubChem CID: 7964, CAS Number: 108-90-7, in gas phase'@en",C6H5Cl (chlorobenzene),'12127',,,,true,false
"'IUPAC: 1,7,7-trimethyltricyclo[2.2.1.02,6]heptane, PubChem CID: 79035, CAS Number: 508-32-7, in gas phase'@en",C10H16 (tricyclene),'12128',,,,true,false
"'IUPAC: 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene, PubChem CID: 6654, CAS Number: 80-56-8, in gas phase'@en",C10H16 (alpha-pinene),'12129',,,,true,false
"'IUPAC: 6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane, PubChem CID: 14896, CAS Number: 127-91-3, in gas phase'@en",C10H16 (beta-pinene),'12130',,,,true,false
"'IUPAC: 7-methyl-3-methylideneocta-1, PubChem CID: 31253, CAS Number: 123-35-3, in gas phase'@en",C10H16 (myrcene),'12131',,,,true,false
"'IUPAC: 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane, PubChem CID: 6616, CAS Number: 79-92-5, in gas phase'@en",C10H16 (camphene),'12132',,,,true,false
"'IUPAC: (4R)-1-methyl-4-prop-1-en-2-ylcyclohexene, PubChem CID: 440917, CAS Number: 5989-27-5, in gas phase'@en",C10H16 (D-limonene),'12133',,,,true,false
"'IUPAC: 3,7,7-trimethylbicyclo[4.1.0]hept-3-ene, PubChem CID: 26049, CAS Number: 13466-78-9, in gas phase'@en",C10H16 (3-carene),'12134',,,,true,false
"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en",C2H2O2 (glyoxal),'12135',,,,true,false
"'IUPAC: methyl formate, PubChem CID: 7865, CAS Number: 107-31-3, in gas phase'@en",C2H4O2 (methyl formate),'12136',,,,true,false
"'IUPAC: 2-hydroxyacetaldehyde, PubChem CID: 756, CAS Number: 141-46-8, in gas phase'@en",C2H4O2 (glycolaldehyde),'12137',,,,true,false
"'IUPAC: methyl acetate, PubChem CID: 6584, CAS Number: 79-20-9, in gas phase'@en",C3H6O2 (methyl acetate),'12138',,,,true,false
"'IUPAC: ethyl formate, PubChem CID: 8025, CAS Number: 109-94-4, in gas phase'@en",C3H6O2 (ethyl formate),'12139',,,,true,false
"'IUPAC: 1-hydroxypropan-2-one, PubChem CID: 8299, CAS Number: 116-09-6, in gas phase'@en",C3H6O2 (hydroxyacetone),'12140',,,,true,false
"'IUPAC: 1,3-dioxolane, PubChem CID: 12586, CAS Number: 646-06-0, in gas phase'@en","C3H6O2 (1,3-dioxolane)",'12141',,,,true,false
"'IUPAC: ethyl acetate, PubChem CID: 8857, CAS Number: 141-78-6, in gas phase'@en",C4H8O2 (ethyl acetate),'12142',,,,true,false
"'IUPAC: methyl propanoate, PubChem CID: 11124, CAS Number: 554-12-1, in gas phase'@en",C4H8O2 (methyl propionate),'12143',,,,true,false
"'IUPAC: 1,4-xylene, PubChem CID: 7809, CAS Number: 106-42-3, in gas phase'@en",C8H10 (p-xylene),'12144',,,,true,false
"'IUPAC: ozone, PubChem CID: 24823, CAS Number: 10028-15-6, in gas phase'@en",O3 (ozone),'12164',,,,true,false
''@en,Water vapour,'12165',,,,true,false
"'Aggregate state of cloud particles, either water droplets/drops, snowflakes, ice/snow crystals, or mixed.'@en",Cloud phase,'12167',,,,true,false
"'IUPAC: n/a, PubChem CID: 24824, CAS Number: 10028-17-8'@en",Tritium [H-3],'12170',,,,true,false
"'IUPAC: n/a, PubChem CID: 26873, CAS Number: 14762-75-5'@en",Carbon [C-14],'12171',,,,true,false
"'IUPAC: sodium-22, PubChem CID: 6328543, CAS Number: 13966-32-0'@en",Sodium [Na-22],'12172',,,,true,false
"'IUPAC: sodium-24, PubChem CID: 6335498, CAS Number: 13982-04-2'@en",Sodium [Na-24],'12173',,,,true,false
"'IUPAC: n/a, PubChem CID: 167013, CAS Number: 14158-34-0'@en",Chlorine [Cl-38],'12174',,,,true,false
"'IUPAC: potassium-40, PubChem CID: 6328542, CAS Number: 13966-00-2'@en",Potassium [K-40],'12175',,,,true,false
"'IUPAC: potassium-42, PubChem CID: 11607897, CAS Number: 14378-21-3'@en",Potassium [K-42],'12176',,,,true,false
"'IUPAC: scandium-46, PubChem CID: 107673, CAS Number: 13967-63-0'@en",Scandium [Sc-46],'12177',,,,true,false
"'IUPAC: chromium-51, PubChem CID: 104786, CAS Number: 14392-02-0'@en",Chromium [Cr-51],'12178',,,,true,false
"'IUPAC: manganese-53, PubChem CID: 167227, CAS Number: 14999-33-8'@en",Manganese [Mn-53],'12179',,,,true,false
"'IUPAC: manganese-56, PubChem CID: 114694, CAS Number: 14681-52-8'@en",Manganese [Mn-56],'12180',,,,true,false
"'IUPAC: iron-59, PubChem CID: 104784, CAS Number: 14596-12-4'@en",Iron [Fe-59],'12181',,,,true,false
"'IUPAC: cobalt-56, PubChem CID: 166998, CAS Number: 14093-03-9'@en",Cobalt [Co-56],'12182',,,,true,false
"'IUPAC: cobalt-57, PubChem CID: 104851, CAS Number: 13981-50-5'@en",Cobalt [Co-57],'12183',,,,true,false
"'IUPAC: cobalt-58, PubChem CID: 104844, CAS Number: 13981-38-9'@en",Cobalt [Co-58],'12184',,,,true,false
"'IUPAC: cobalt-60, PubChem CID: 61492, CAS Number: 10198-40-0'@en",Cobalt [Co-60],'12185',,,,true,false
"'IUPAC: zinc-65, PubChem CID: 91574, CAS Number: 13982-39-3'@en",Zinc [Zn-65],'12186',,,,true,false
"'IUPAC: gallium-67, PubChem CID: 5464084, CAS Number: 14119-09-6'@en",Gallium [Ga-67],'12187',,,,true,false
"'IUPAC: selenium-75, PubChem CID: 6328176, CAS Number: 14265-71-5'@en",Selenium [Se-75],'12188',,,,true,false
"'IUPAC: strontium-85, PubChem CID: 5464271, CAS Number: 13967-73-2'@en",Strontium [Sr-85],'12189',,,,true,false
"'IUPAC: strontium-89, PubChem CID: 5388880, CAS Number: 14158-27-1'@en",Strontium [Sr-89],'12190',,,,true,false
"'IUPAC: strontium-90, PubChem CID: 5486204, CAS Number: 10098-97-2'@en",Strontium [Sr-90],'12191',,,,true,false
"'IUPAC: strontium-91, PubChem CID: 6337043, CAS Number: 14331-91-0'@en",Strontium [Sr-91],'12192',,,,true,false
"'IUPAC: yttrium-88, PubChem CID: 105173, CAS Number: 13982-36-0'@en",Yttrium [Y-88],'12193',,,,true,false
"'Metastable (excited) state of yttrium-90 isotope, IUPAC: yttrium-90, PubChem CID: 104760, CAS Number: 10098-91-6'@en",Yttrium [Y-90m],'12194',,,,true,false
"'IUPAC: zirconium-95, PubChem CID: 91573, CAS Number: 13967-71-0'@en",Zirconium [Zr-95],'12195',,,,true,false
"'IUPAC: niobium-95, PubChem CID: 104776, CAS Number: 13967-76-5'@en",Niobium [Nb-95],'12196',,,,true,false
"'IUPAC: molybdenum-99, PubChem CID: 104976, CAS Number: 14119-15-4'@en",Molybdenum [Mo-99],'12197',,,,true,false
"'Metastable (excited) state of technetium-99 isotope, IUPAC: technetium-99, PubChem CID: 26476, CAS Number: 14133-76-7'@en",Technetium  [Tc-99m],'12198',,,,true,false
"'IUPAC: ruthenium-103, PubChem CID: 104749, CAS Number: 13968-53-1'@en",Ruthenium [Ru-103],'12199',,,,true,false
"'IUPAC: ruthenium-106, PubChem CID: 26359, CAS Number: 13967-48-1'@en",Ruthenium [Ru-106],'12200',,,,true,false
"'Metastable (excited) state of silver-108 isotope, IUPAC: silver-108, PubChem CID: 167088, CAS Number: 14391-65-2'@en",Silver [Ag-108m],'12201',,,,true,false
"'Metastable (excited) state of silver-110 isotope, IUPAC: silver-110, PubChem CID: 104828, CAS Number: 14391-76-5'@en",Silver [Ag-110m],'12202',,,,true,false
"'IUPAC: indium-111, PubChem CID: 5462099, CAS Number: 15750-15-9'@en",Indium [In-111],'12203',,,,true,false
"'IUPAC: tin-113, PubChem CID: 6335514, CAS Number: 13966-06-8'@en",Tin [Sn-113],'12204',,,,true,false
"'IUPAC: antimony-122, PubChem CID: 6335836, CAS Number: 14374-79-9'@en",Antimony [Sb-122],'12205',,,,true,false
"'IUPAC: antimony-124, PubChem CID: 6335510, CAS Number: 14683-10-4'@en",Antimony [Sb-124],'12206',,,,true,false
"'IUPAC: antimony-125, PubChem CID: 6335317, CAS Number: 14234-35-6'@en",Antimony [Sb-125],'12207',,,,true,false
"'IUPAC: tellurium-132, PubChem CID: 6336614, CAS Number: 14234-28-7'@en",Tellurium [Te-132],'12208',,,,true,false
"'IUPAC: n/a, PubChem CID: 161029, CAS Number: 14158-32-8'@en","Iodine [I-126], elementary",'12209',,,,true,false
"'IUPAC: n/a, PubChem CID: 24855, CAS Number: 10043-66-0'@en","Iodine [I-131], elementary",'12210',,,,true,false
"'IUPAC: n/a, PubChem CID: 104966, CAS Number: 14683-16-0'@en","Iodine [I-132], elementary",'12211',,,,true,false
"'IUPAC: n/a, PubChem CID: 167176, CAS Number: 14834-67-4'@en","Iodine [I-133], elementary",'12212',,,,true,false
"'IUPAC: xenon-133, PubChem CID: 66376, CAS Number: 14932-42-4'@en",Xenon [Xe-133],'12213',,,,true,false
"'IUPAC: cesium-134, PubChem CID: 6335485, CAS Number: 13967-70-9'@en",Caesium [Cs-134],'12214',,,,true,false
"'IUPAC: cesium-136, PubChem CID: 6335316, CAS Number: 14234-29-8'@en",Caesium [Cs-136],'12215',,,,true,false
"'IUPAC: cesium-137, PubChem CID: 5486527, CAS Number: 10045-97-3'@en",Caesium [Cs-137],'12216',,,,true,false
"'IUPAC: barium-133, PubChem CID: 5491664, CAS Number: 13981-41-4'@en",barium [Ba-133],'12217',,,,true,false
"'IUPAC: barium-140, PubChem CID: 6335490, CAS Number: 14798-08-4'@en",barium [Ba-140],'12218',,,,true,false
"'IUPAC: cerium-139, PubChem CID: 166969, CAS Number: 13982-30-4'@en",cerium [Ce-139],'12219',,,,true,false
"'IUPAC: cerium-141, PubChem CID: 104814, CAS Number: 13967-74-3'@en",cerium [Ce-141],'12220',,,,true,false
"'IUPAC: cerium-144, PubChem CID: 26874, CAS Number: 14762-78-8'@en",cerium [Ce-144],'12221',,,,true,false
"'IUPAC: lanthanum-140, PubChem CID: 104882, CAS Number: 13981-28-7'@en",Lanthanum [La-140],'12222',,,,true,false
"'IUPAC: neodymium-147, PubChem CID: 114848, CAS Number: 14269-74-0'@en",Neodymium [Nd-147],'12223',,,,true,false
"'IUPAC: europium-152, PubChem CID: 104907, CAS Number: 14683-23-9'@en",Europium [Eu-152],'12224',,,,true,false
"'IUPAC: tantalum-182, PubChem CID: 161013, CAS Number: 13982-00-8'@en",Tantalum [Ta-182],'12225',,,,true,false
"'IUPAC: iridium-192, PubChem CID: 66373, CAS Number: 14694-69-0'@en",Iridium [Ir-192],'12226',,,,true,false
"'IUPAC: mercury-203, PubChem CID: 104771, CAS Number: 13982-78-0'@en",Mercury [Hg-203],'12227',,,,true,false
"'IUPAC: bismuth-212, PubChem CID: 6335500, CAS Number: 14913-49-6'@en",bismuth [Bi-212],'12228',,,,true,false
"'IUPAC: bismuth-213, PubChem CID: 6337093, CAS Number: 15776-20-2'@en",bismuth [Bi-213],'12229',,,,true,false
"'IUPAC: lead-212, PubChem CID: 6335491, CAS Number: 15092-94-1'@en",Lead [Pb-212],'12230',,,,true,false
"'IUPAC: lead-214, PubChem CID: 6328551, CAS Number: 15067-28-4'@en",Lead [Pb-214],'12231',,,,true,false
"'IUPAC: radium-226, PubChem CID: 9877911, CAS Number: 13982-63-3'@en",Radium [Ra-226],'12232',,,,true,false
"'IUPAC: actinium-228, PubChem CID: 105063, CAS Number: 14331-83-0'@en",Actinium [Ac-228],'12233',,,,true,false
"'IUPAC: thorium-232, PubChem CID: 11817119, CAS Number: n/a'@en",Thorium [Th-232],'12234',,,,true,false
"'IUPAC: uranium-234, PubChem CID: 61704, CAS Number: 13966-29-5'@en",Uranium [U-234],'12235',,,,true,false
"'IUPAC: uranium-235, PubChem CID: 61784, CAS Number: 15117-96-1'@en",Uranium [U-235],'12236',,,,true,false
"'IUPAC: uranium-238, PubChem CID: n/a, CAS Number: n/a'@en",Uranium [U-238],'12237',,,,true,false
"'IUPAC: plutonium-238, PubChem CID: 61709, CAS Number: 13981-16-3'@en",Plutonium [Pu-238],'12238',,,,true,false
"'IUPAC: neptunium-239, PubChem CID: 104958, CAS Number: 13968-59-7'@en",Neptunium [Np-239],'12239',,,,true,false
"'IUPAC: americium-241, PubChem CID: 104726, CAS Number: 14596-10-2'@en",Americium [Am-241],'12240',,,,true,false
"'Sum of Plutonium isotopes: Pu-239 and Pu-240, IUPAC: plutonium-239, PubChem CID: 61782, CAS Number: 15117-48-3 and IUPAC: plutonium-239, PubChem CID: 61782, CAS Number: 15117-48-3'@en",Sum of Plutonium [Pu-239] and [Pu-240],'12241',,,,true,false
"'IUPAC: gold-198, PubChem CID: 66274, CAS Number: 10043-49-9'@en",Gold [Au-198],'12242',,,,true,false
"'IUPAC: 1,2-dichloro-1,1-difluoroethane, PubChem CID: 15442, CAS Number: 1649-08-7, in gas phase'@en","C2H2Cl2F2 (1,2-dichloro-1,1-difluoroethane, HCFC-132b)",'12243',,,,true,false
