dct:description,rdfs:label,skos:notation,Comment,Property,Constraints,has_ooi,has_property
"'IUPAC: 2-chloro-1,1,1-trifluoroethane, PubChem CID: 6408, CAS Number: 75-88-7, in gas phase'@en","C2H2ClF3 (2-chloro-1,1,1-trifluoroethane, HCFC-133a)",'12244',,,,true,false
'IUPAC: neodymium-137'@en,Neodymium [Nd-137],'12247',,,,true,false
"'IUPAC: 1,1,1,3,3,3-hexafluoropropane, PubChem CID: 12722, CAS Number: 690-39-1, in gas phase'@en","C3H2F6 (1,1,1,3,3,3-hexafluoropropane, HFC-236fa)",'12320',,,,true,false
"'IUPAC: tellurium-131, PubChem CID: 6337051, CAS Number: 14683-12-6'@en",Tellurium [Te-131],'12321',,,,true,false
"'IUPAC: methane, PubChem CID: 297, CAS Number: 74-82-8, in gas phase'@en",CH4 (methane),'192',,,,true,false
"'IUPAC: methane C-13, PubChem CID: 105026, CAS Number: 14762-74-4, in gas phase'@en","CH4 (methane, C-13)",'193',,,,true,false
"'IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase'@en",CO2 (carbon dioxide),'194',,,,true,false
"'IUPAC: n/a, PubChem CID: 10129882, CAS Number: 1111-72-4, in gas phase'@en","CO2 (carbon dioxide, C-13)",'195',,,,true,false
'CO2 with O-18 isotope'@en,CO2 [O-18],'196',,,,true,false
"'IUPAC: nitrous oxide, PubChem CID: 948, CAS Number: 10024-97-2, in gas phase'@en",N2O (nitrous oxide),'201',,,,true,false
"'IUPAC: hexafluoro-Î»6-sulfane, PubChem CID: 17358, CAS Number: 2551-62-4, in gas phase'@en",SF6 (sulfur hexafluoride),'203',,,,true,false
"'IUPAC: sulfuryl difluoride, PubChem CID: 17607, CAS Number: 2699-79-8, in gas phase'@en",SO2F2 (sulfuryl fluoride),'204',,,,true,false
"'IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase'@en",H2 (hydrogen molecule),'205',,,,true,false
"'IUPAC: oxidane, PubChem CID: 962, CAS Number: 7732-18-5, in gas phase'@en",H2O (as a chemical species),'206',,,,true,false
"'IUPAC: n/a, PubChem CID: 139859, CAS Number: 14940-63-7, in gas phase'@en",HDO (as a chemical species),'207',,,,true,false
"'IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4'@en",Beryllium [Be-7],'219',,,,true,false
'CO2 with C-14 isotope'@en,CO2 [C-14],'220',,,,true,false
"'IUPAC: krypton-85, PubChem CID: 104816, CAS Number: 13983-27-2'@en",Krypton [Kr-85],'221',,,,true,false
"'IUPAC: lead-210, PubChem CID: 6328175, CAS Number: 14255-04-0'@en",Lead [Pb-210],'222',,,,true,false
"'IUPAC: radon-222, PubChem CID: 61773, CAS Number: 14859-67-7'@en",Radon [Rn-222],'223',,,,true,false
'Kinetic energy density of turbulent motion of the air'@en,Turbulence,'249',OoI = Turbulence?,,,true,false
'Ultraviolet radiation covering the range 280-315 nm.'@en,UV-B radiation,'273',with Constraint,,UV-B,true,false
"'IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase'@en",BrO (bromine monoxide),'274',,,,true,false
"'IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4, in gas phase'@en",C2Cl4 (tetrachloroethene),'275',,,,true,false
"'IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number: 79-01-6, in gas phase'@en",C2HCl3 (trichloroethene),'276',,,,true,false
"'IUPAC: dibromomethane, PubChem CID: 3024, CAS Number: 74-95-3, in gas phase'@en",CH2Br2 (dibromomethane),'277',,,,true,false
"'IUPAC: dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2, in gas phase'@en",CH2Cl2 (dichloromethane),'278',,,,true,false
"'IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase'@en",CH3Br (bromomethane),'279',,,,true,false
"'IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3, in gas phase'@en",CH3Cl (chloromethane),'280',,,,true,false
"'IUPAC: iodomethane, PubChem CID: 6328, CAS Number: 74-88-4, in gas phase'@en",CH3I (iodomethane),'281',,,,true,false
"'IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase'@en",CHBr3 (bromoform),'282',,,,true,false
"'IUPAC: chloroform, PubChem CID: 6212, CAS Number: 67-66-3, in gas phase'@en","CHCl3 (trichloromethane, chloroform)",'283',,,,true,false
"'IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase'@en",CO,'284',,,,true,false
"'IUPAC: carbonyl difluoride, PubChem CID: 9623, CAS Number: 353-50-4, in gas phase'@en","COF2 (difluoromethanal, carbonyl fluoride)",'285',,,,true,false
"'IUPAC: n/a, PubChem CID: 166686, CAS Number: 14989-30-1, in gas phase'@en",ClO (chlorine monoxide),'286',,,,true,false
"'IUPAC: hydrogen peroxide, PubChem CID: 784, CAS Number: 7722-84-1, in gas phase'@en",H2O2 (hydrogen peroxide),'287',,,,true,false
"'IUPAC: chlorane, PubChem CID: 313, CAS Number: 7647-01-0, in gas phase'@en",HCl (hydrochloric acid),'288',,,,true,false
"'IUPAC: fluorane, PubChem CID: 14917, CAS Number: 7664-39-3, in gas phase'@en",HF (hydrofluoric acid),'289',,,,true,false
''@en,ROOH,'291',Organic Peroxide?,,,true,false
"'IUPAC: sulfur, PubChem CID: n/a, CAS Number: 7704-34-9, in total deposition'@en",S (sulfur),'302',,,,true,false
"'IUPAC: bromo-chloro-difluoromethane, PubChem CID: 9625, CAS Number: 353-59-3, in gas phase'@en",CBrClF2 (Halon 1211),'332',,,,true,false
"'IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase'@en","CBrF3 (bromotrifluoromethane, Halon 1301)",'333',,,,true,false
"'IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase'@en","C13H10 (9H-fluorene, fluorene), in air",'334',with Matrix,,,true,false
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase, PM10'@en","C14H10 (anthracene), PM10",'335',with Matrix and Constraint,,,true,false
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase'@en","C14H10 (anthracene), in aerosol",'336',with Constraint,,,true,false
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in aerosol'@en","C14H10 (anthracene), in air and aerosol",'337',with Constraint,,,true,false
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in gas phase'@en","C14H10 (anthracene), in air",'338',with Constraint,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase, PM10'@en","C14H10 (phenanthrene), PM10",'339',with Matrix and Constraint,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase'@en","C14H10 (phenanthrene), in aerosol",'340',with Constraint,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in gas phase'@en","C14H10 (phenanthrene), in air",'341',with Matrix,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in aerosol'@en","C14H10 (phenanthrene), in air and aerosol",'342',with Matrix,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in wet deposition'@en","C14H10 (phenanthrene), in wet deposition",'343',with Matrix,,,true,false
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in total precipitation'@en","C14H10 (phenanthrene), in total precipitation",'344',with Matrix,,,true,false
"'IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0, in aerosol'@en","C16H10 (pyrene), in air and aerosol",'345',with Matrix,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase, PM10'@en","C18H12 (benz(a)anthracene), PM10",'346',with Matrix and Constraint,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase'@en","C18H12 (benz(a)anthracene), in aerosol",'347',with Matrix,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in gas phase'@en","C18H12 (benz(a)anthracene), in air",'348',with Matrix,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in aerosol'@en","C18H12 (benz(a)anthracene), in air and aerosol",'349',with Matrix,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in precipitation'@en","C18H12 (benz(a)anthracene), in precipitation",'350',with Matrix,,,true,false
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in total precipitation'@en","C18H12 (benz(a)anthracene), in total precipitation",'351',with Matrix,,,true,false
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase'@en","C12H8Cl6 (aldrin), in aerosol",'375',with Matrix,,,true,false
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in gas phase'@en","C12H8Cl6 (aldrin), in air",'376',with Matrix,,,true,false
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in aerosol'@en","C12H8Cl6 (aldrin), in air and aerosol",'377',with Matrix,,,true,false
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in total precipitation'@en","C12H8Cl6 (aldrin), in total precipitation",'378',with Matrix,,,true,false
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in wet precipitation'@en","C12H8Cl6 (aldrin), in wet precipitation",'379',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1, in gas phase'@en","C6Cl6 (hexachlorobenzene, HCB), in air",'380',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",'381',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",'382',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",'383',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",'384',with Matrix,,,true,false
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",'385',with Matrix,,,true,false
"'IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase'@en",NH3 (Ammonia),'390',,,,true,false
"'IUPAC: nitro ethaneperoxoate, PubChem CID: 16782, CAS Number: 2278-22-0, in gas phase'@en","C2H3O5N (peroxyacetylnitrate, PAN)",'391',,,,true,false
"'IUPAC: chloro nitrate, PubChem CID: 114934, CAS Number: 14545-72-3, in gas phase'@en",ClONO2 (chlorine nitrate),'392',,,,true,false
"'IUPAC: formonitrile, PubChem CID: 768, CAS Number: 74-90-8, in gas phase'@en","HCN (formonitrile, hydrogen cyanide)",'393',,,,true,false
"'IUPAC: nitric acid, PubChem CID: 944, CAS Number: 7697-37-2, in gas phase'@en",HNO3 (nitric acid),'394',,,,true,false
"'IUPAC: nitric oxide, PubChem CID: 145068, CAS Number: 10102-43-9, in gas phase'@en",NO (nitrogen monoxide),'395',,,,true,false
"'IUPAC: n/a, PubChem CID: 3032552, CAS Number: 10102-44-0, in gas phase'@en",NO2 (nitrogen dioxide),'396',,,,true,false
''@en,NOx,'397',,,,true,false
''@en,NOy,'398',,,,true,false
"'IUPAC: 1,1,1,2,2,2-hexafluoroethane, PubChem CID: 6431, CAS Number: 76-16-4, in gas phase'@en","C2F6 (hexafluoroethane, PFC-116)",'419',,,,true,false
"'IUPAC: 1,1,1,2,2,3,3,3-octafluoropropane, PubChem CID: 6432, CAS Number: 76-19-7, in gas phase'@en","C3F8 (octafluoropropane, PFC-218)",'420',,,,true,false
"'IUPAC: tetrafluoromethane, PubChem CID: 6393, CAS Number: 75-73-0, in gas phase'@en","CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",'421',,,,true,false
"'IUPAC: carbonyl sulfide, PubChem CID: 10039, CAS Number: 463-58-1, in gas phase'@en","COS (OCS, carbon oxide sulfide, carbonyl sulfide)",'428',,,,true,false
"'IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase'@en",CS2 (carbon disulfide),'429',,,,true,false
"'IUPAC: sulfur dioxide, PubChem CID: 1119, CAS Number: 7446 09-5, in gas phase'@en",SO2,'430',,,,true,false
"'IUPAC: acetylene, PubChem CID: 6326, CAS Number: 74-86-2, in gas phase'@en","C2H2 (ethyne, acetylene)",'434',,,,true,false
"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en","C2H2O2 (oxaldehyde, ethanedial)",'435',,,,true,false
"'IUPAC: ethene, PubChem CID: 6325, CAS Number: 74-85-1, in gas phase'@en",C2H4 (ethene),'436',,,,true,false
"'IUPAC: ethane, PubChem CID: 6324, CAS Number: 74-84-0, in gas phase'@en",C2H6 (ethane),'437',,,,true,false
"'IUPAC: methylsulfanylmethane, PubChem CID: 1068, CAS Number: 75-18-3, in gas phase'@en","C2H6S (dimethylsulfide, DMS)",'438',,,,true,false
"'IUPAC: prop-1-yne, PubChem CID: 6335, CAS Number: 74-99-7, in gas phase'@en",C3H4 (propyne),'439',,,,true,false
"'IUPAC: prop-2-enal, PubChem CID: 7847, CAS Number: 107-02-8, in gas phase'@en","C3H4O (prop-2-enal, acrolein)",'440',,,,true,false
"'IUPAC: 2-oxopropanal, PubChem CID: 880, CAS Number: 78-98-8, in gas phase'@en","C3H4O2 (2-oxopropanal, methylglyoxal)",'441',,,,true,false
"'IUPAC: prop-1-ene, PubChem CID: 8252, CAS Number: 115-07-1, in gas phase'@en",C3H6 (propene),'442',,,,true,false
"'IUPAC: propan-2-one, PubChem CID: 180, CAS Number: 67-64-1, in gas phase'@en","C3H6O (acetone, propanone)",'443',,,,true,false
"'IUPAC: propanal, PubChem CID: 527, CAS Number: 123-38-6, in gas phase'@en",C3H6O (propanal),'444',,,,true,false
"'IUPAC: propane, PubChem CID: 6334, CAS Number: 74-98-6, in gas phase'@en",C3H8 (propane),'445',,,,true,false
"'IUPAC: buta-1,3-diene, PubChem CID: 7845, CAS Number: 106-99-0, in gas phase'@en","C4H6 (1,3-butadiene, butadiene)",'446',,,,true,false
"'IUPAC: 2-methylprop-2-enal, PubChem CID: 6562, CAS Number: 78-85-3, in gas phase'@en","C4H6O (2-methylprop-2-enal, methacrolein)",'447',,,,true,false
"'IUPAC: but-3-en-2-one, PubChem CID: 6570, CAS Number: 78-94-4, in gas phase'@en","C4H6O (but-3-en-2-one, methylvinylketone)",'448',,,,true,false
"'IUPAC: but-1-ene, PubChem CID: 7844, CAS Number: 106-98-9, in gas phase'@en",C4H8 (1-butene),'449',,,,true,false
''@en,C4H8 (sum of butenes),'450',,,,true,false
"'IUPAC: butan-2-one, PubChem CID: 6569, CAS Number: 78-93-3, in gas phase'@en","C4H8O (butan-2-one, methylethylketone)",'451',,,,true,false
''@en,C4H8O (butanal isomers),'452',,,,true,false
"'IUPAC: pent-1-ene, PubChem CID: 8004, CAS Number: 109-67-1, in gas phase'@en",C5H10 (1-pentene),'453',,,,true,false
"'IUPAC: 2-methylbut-1-ene, PubChem CID: 11240, CAS Number: 563-46-2, in gas phase'@en",C5H10 (2-methyl-1-butene),'454',,,,true,false
"'IUPAC: 2-methylbut-2-ene, PubChem CID: 10553, CAS Number: 513-35-9, in gas phase'@en",C5H10 (2-methyl-2-butene),'455',,,,true,false
"'IUPAC: 3-methylbut-1-ene, PubChem CID: 11239, CAS Number: 563-45-1, in gas phase'@en",C5H10 (3-methyl-1-butene),'456',,,,true,false
"'IUPAC: cyclopentane, PubChem CID: 9253, CAS Number: 287-92-3, in gas phase'@en",C5H10 (cyclopentane),'457',,,,true,false
''@en,C5H10 (sum of 1-pentene and 2-methyl-2-butene),'458',,,,true,false
''@en,C5H10 (sum of pentenes),'459',,,,true,false
"'IUPAC: pentanal, PubChem CID: 8063, CAS Number: 110-62-3, in gas phase'@en","C5H10O (pentanal, valeraldehyde)",'460',,,,true,false
''@en,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",'461',,,,true,false
"'IUPAC: 2,2-dimethylpropane, PubChem CID: 10041, CAS Number: 463-82-1, in gas phase'@en","C5H12 (2,2-dimethylpropane)",'462',,,,true,false
"'IUPAC: 2,3-dimethylbutane, PubChem CID: 6589, CAS Number: 79-29-8, in gas phase'@en","C5H14 (2,3-dimethylbutane)",'463',,,,true,false
"'IUPAC: 2-methylbuta-1,3-diene, PubChem CID: 6557, CAS Number: 78-79-5, in gas phase'@en","C5H8 (2-methyl-1,3-butadiene, isoprene)",'464',,,,true,false
"'IUPAC: cyclopentene, PubChem CID: 8882, CAS Number: 142-29-0, in gas phase'@en",C5H8 (cyclopentene),'465',,,,true,false
"'Sum of 3-methyl-1-butene and cyclopentane, in gas phase'@en","C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)",'466',,,,true,false
"'Sum of n-pentane and cyclopentane, in gas phase'@en","C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)",'467',,,,true,false
"'IUPAC: cyclohexane, PubChem CID: 8078, CAS Number: 110-82-7, in gas phase'@en",C6H12 (cyclohexane),'468',,,,true,false
"'IUPAC: methylcyclopentane, PubChem CID: 7296, CAS Number: 96-37-7, in gas phase'@en",C6H12 (methylcyclopentane),'469',,,,true,false
''@en,C6H12O (hexanal isomers),'470',,,,true,false
''@en,"C6H14 (2,2-dimethylbutane)",'471',,,,true,false
"'IUPAC: 2-methylpentane, PubChem CID: 7892, CAS Number: 107-83-5, in gas phase'@en",C6H14 (2-methylpentane),'472',,,,true,false
"'IUPAC: 3-methylpentane, PubChem CID: 7282, CAS Number: 96-14-0, in gas phase'@en",C6H14 (3-methylpentane),'473',,,,true,false
"'IUPAC: hexane, PubChem CID: 8058, CAS Number: 110-54-3, in gas phase'@en",C6H14 (n-hexane),'474',,,,true,false
''@en,C6H14 (sum of methylpentanes),'475',,,,true,false
"'IUPAC: benzene, PubChem CID: 241, CAS Number: 71-43-2, in gas phase'@en",C6H6 (benzene),'476',,,,true,false
"'sum of 3-methylpentane and cyclohexane, in gas phase'@en","C6Hn, n={14, 12} (sum of 3-methylpentane and cyclohexane)",'477',,,,true,false
"'sum of 2,2-dimethylbutane and methylcyclopentane, in gas phase'@en","C6Hn, n={14, 12} (sum of 2,2-dimethylbutane and methylcyclopentane)",'478',,,,true,false
"'sum of 2,3-dimethylbutane and methylcyclopentane, in gas phase'@en","C6Hn, n={14, 12} (sum of 2,3-dimethylbutane and methylcyclopentane)",'479',,,,true,false
''@en,C7H16 (sum of methylhexanes),'480',,,,true,false
''@en,C7H6O (benzene carbaldehyde),'481',,,,true,false
"'IUPAC: toluene, PubChem CID: 1140, CAS Number: 108-88-3, in gas phase'@en",C7H8 (toluene),'482',,,,true,false
"'IUPAC: ethylbenzene, PubChem CID: 7500, CAS Number: 100-41-4, in gas phase'@en",C8H10 (ethylbenzene),'483',,,,true,false
"'IUPAC: 1,3-xylene, PubChem CID: 7929, CAS Number: 108-38-3, in gas phase'@en",C8H10 (m-xylene),'484',,,,true,false
"'IUPAC: 1,2-xylene, PubChem CID: 7237, CAS Number: 95-47-6, in gas phase'@en",C8H10 (o-xylene),'485',,,,true,false
''@en,"C8H10 (Sum of p-xylene and m-xylene, 1,3- and 1,4-dimethylbenzene)",'486',,,,true,false
"'IUPAC: 1,2,4-trimethylbenzene, PubChem CID: 7247, CAS Number: 95-36-3, in gas phase'@en","C9H12 (1,2,4-trimethylbenzene)",'487',,,,true,false
"'IUPAC: 1,3,5-trimethylbenzene, PubChem CID: 7947, CAS Number: 108-67-8, in gas phase'@en","C9H12 (1,3,5-trimethylbenzene)",'488',,,,true,false
"'IUPAC: formaldehyde, PubChem CID: 712, CAS Number: 50-00-0, in gas phase'@en","CH2O (methanal, formaldehyde)",'489',,,,true,false
"'IUPAC: ethanol, PubChem CID: 702, CAS Number: 64-17-5, in gas phase'@en",CH3CH2OH (ethanol),'490',,,,true,false
"'IUPAC: acetaldehyde, PubChem CID: 177, CAS Number: 75-07-0, in gas phase'@en","CH3CHO (acetaldehyde, ethanal)",'491',,,,true,false
"'IUPAC: acetonitrile, PubChem CID: 6342, CAS Number: 75-05-8, in gas phase'@en",CH3CN (acetonitrile),'492',,,,true,false
"'IUPAC: methanol, PubChem CID: 887, CAS Number: 67-56-1, in gas phase'@en",CH3OH (methanol),'493',,,,true,false
''@en,NMHC,'494',,,,true,false
"'IUPAC: (Z)-but-2-ene, PubChem CID: 5287573, CAS Number: 590-18-1, in gas phase'@en",c-C4H8 (cis-2-butene),'495',,,,true,false
"'IUPAC: (Z)-pent-2-ene, PubChem CID: 5326160, CAS Number: 627-20-3, in gas phase'@en",c-C5H10 (cis-2-pentene),'496',,,,true,false
"'IUPAC: 2-methylpropane, PubChem CID: 6360, CAS Number: 75-28-5, in gas phase'@en","i-C4H10 (2-methylpropane, iso-butane)",'497',,,,true,false
"'IUPAC: 2-methylprop-1-ene, PubChem CID: 8255, CAS Number: 115-11-7, in gas phase'@en","i-C4H8 (2-methylpropene, iso-butene)",'498',,,,true,false
"'IUPAC: 2-methylbutane, PubChem CID: 6556, CAS Number: 78-78-4, in gas phase'@en","i-C5H12 (2-methylbutane, iso-pentane)",'499',,,,true,false
"'IUPAC: 2-methylhexane, PubChem CID: 11582, CAS Number: 591-76-4, in gas phase'@en","i-C7H16 (2-methylhexane, isoheptane)",'500',,,,true,false
"'IUPAC: butane, PubChem CID: 7843, CAS Number: 106-97-8, in gas phase'@en",n-C4H10 (n-butane),'501',,,,true,false
"'IUPAC: pentane, PubChem CID: 8003, CAS Number: 109-66-0, in gas phase'@en",n-C5H12 (n-pentane),'502',,,,true,false
"'IUPAC: heptane, PubChem CID: 8900, CAS Number: 142-82-5, in gas phase'@en",n-C7H16 (n-heptane),'503',,,,true,false
"'IUPAC: (E)-but-2-ene, PubChem CID: 62695, CAS Number: 107-01-7, in gas phase'@en",t-C4H8 (trans-2-butene),'504',,,,true,false
"'IUPAC: (E)-pent-2-ene, PubChem CID: 5326161, CAS Number: 109-68-2, in gas phase'@en",t-C5H10 (trans-2-pentene),'505',,,,true,false
''@en,Strong acids,'529',??,,,true,false
"'IUPAC: 1,1-dichloro-1-fluoroethane, PubChem CID: 15586, CAS Number: 1717-00-6, in gas phase'@en","C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)",'534',,,,true,false
"'IUPAC: 1-chloro-1,1-difluoroethane, PubChem CID: 6388, CAS Number: 75-68-3, in gas phase'@en","C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)",'535',,,,true,false
"'IUPAC: 1,1,1-trifluoroethane, PubChem CID: 9868, CAS Number: 420-46-2, in gas phase'@en","C2H3F3 (1,1,1-trifluoroethane, HFC-143a)",'536',,,,true,false
"'IUPAC: chloro(difluoro)methane, PubChem CID: 6372, CAS Number: 75-45-6, in gas phase'@en","CHClF2 (chlorodifluoromethane, HCFC-22)",'537',,,,true,false
"'IUPAC: bromide, PubChem CID: 259, CAS Number: 24959-67-9, in total deposition'@en",Br- (bromide),'538',,,,true,false
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in total deposition'@en",Cl- (chloride),'539',,,,true,false
"'IUPAC: fluoride, PubChem CID: 28179, CAS Number: 16984-48-8, in total deposition'@en",F- (fluoride),'540',,,,true,false
