#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,notApplicable,,>(not applicable),(not applicable),None of the codes in the table is applicable in the context of the observing facility; or: Unknown; or: Information not available,>(Sans objet),(Sans objet),Aucun des codes de la table ne s’applique dans le cadre de cette installation d’observation; ou: Inconnu; ou: Information non disponible ,>(no se aplica),(no se aplica),No se aplica ninguna de las claves de la tabla de cifrado en el contexto de la instalación de observación; o: Desconocido; o: No se dispone de información,>(неприменимо),(неприменимо),Ни один из кодов в таблице неприменим в контексте средства наблюдения; или: Неизвестно; или: Информация отсутствует
2,incident,,>Incident,Incident,An unexpected event that has (or may have) impacted the observations,>Incident,Incident,Événement imprévu qui a eu (ou a pu avoir) une incidence sur les observations,>Incidente,Incidente,Fenómeno inesperado que ha influido (o puede haber influido) en las observaciones,>Инцидент,Инцидент,"Неожиданное событие, которое повлияло (или могло повлиять) на проведение наблюдений"
3,intervention,,>Intervention,Intervention,Human activity that has (or may have) impacted the observations,>Intervention,Intervention,Action d’origine humaine qui a eu (ou a pu avoir) une incidence sur les observations,>Intervención,Intervención,Actividad humana que ha influido (o puede influido) en las observaciones,>Вмешательство,Вмешательство,"Деятельность человека, которая повлияла (или могла повлиять) на проведение наблюдений"
4,environmental,,>Incident>Environmental,Environmental,NA,>Incident>Environnemental,Environnemental,s.o.,>Incidente>Ambiental,Ambiental,NA,>Инцидент>Экологический,Экологический,NA
5,fire,,>Incident>Fire,Fire,Fire inside building,>Incident>Incendie,Incendie,Incendie dans le bâtiment,>Incidente>Fuego,Fuego,Fuego en el interior del edificio,>Инцидент>Пожар,Пожар,Пораж внутри здания
6,severeWeather,,>Incident>Severe weather,Severe weather,A natural severe weather event that has (or may have) impacted the observations,>Incident>Phénomène météorologique violent,Phénomène météorologique violent,Phénomène météorologique violent d’origine naturelle qui a eu (ou a pu avoir) une incidence sur les observations,>Incidente>Fenómenos meteorológicos extremos,Fenómenos meteorológicos extremos,Fenómeno meteorológico extremo que ha influido (o puede haber influido) en las observaciones,>Инцидент>Суровая погода,Суровая погода,"Естественное явление суровой погоды, которое повлияло (или могло повлиять) на проведение наблюдений"
7,spaceWeather,,>Incident>Space weather,Space weather,An event in outer space that has (or may have) impacted the observations,>Incident>Phénomène météorologique spatial,Phénomène météorologique spatial,Phénomène survenu dans l’espace extra‑atmosphérique qui a eu (ou a pu avoir) une incidence sur les observations,>Incidente>Meteorología del espacio,Meteorología del espacio,Fenómeno del espacio exterior que ha influido (o puede haber influido) en las observaciones,>Инцидент>Космическая погода,Космическая погода,"Явление в космической погоде, которое повлияло (или могло повлять) на проведение наблюдений"
8,technical,,>Incident>Technical,Technical,NA,>Incident>Technique,Technique,s.o.,>Incidente>Técnico,Técnico,NA,>Инцидент>Технический,Технический,NA
9,agriculturalActivity,,>Intervention>Agricultural activity,Agricultural activity,NA,>Intervention>Activité agricole,Activité agricole,s.o.,>Intervención>Actividad agrícola,Actividad agrícola,NA,>Вмешательство> Сельскохозяйственная деятельность,Сельскохозяйственная деятельность,NA
10,biomassBurningPlanned,,>Intervention>Biomass burning (planned),Biomass burning (planned),NA,>Intervention>Combustion de la biomasse (prévue),Combustion de la biomasse (prévue),s.o.,>Intervención>Quema de biomasa (planificada),Quema de biomasa (planificada),NA,>Вмешательство> Сжигание биомассы (запланированное),Сжигание биомассы (запланированное),NA
11,construction,,>Intervention>Construction,Construction,NA,>Intervention>Construction,Construction,s.o.,>Intervención>Construcción,Construcción,NA,>Вмешательство> Строительство,Строительство,NA
12,equipmentCleaning,,>Intervention>Equipment cleaning/ painting,Equipment cleaning/ painting,NA,>Intervention>Nettoyage/peinture de l’équipement,Nettoyage/peinture de l’équipement ,s.o.,>Intervención>Limpieza/pintura de los equipos,Limpieza/pintura de los equipos,NA,>Вмешательство> Чистка/окраска оборудования,Чистка/окраска оборудования,NA
13,equipmentMaintenance,,>Intervention>Equipment maintenance,Equipment maintenance,"how is this different from ""preventive maintenance""?",>Intervention>Maintenance de l’équipement,Maintenance de l’équipement ,Quelle différence avec la «maintenance préventive»?,>Intervención>Mantenimiento de los equipos,Mantenimiento de los equipos,¿En qué se diferencia de “mantenimiento preventivo”?,>Вмешательство> Техобслуживание оборудования,Техобслуживание оборудования,Как это отличается от «профилактического обслуживания»?
14,repairReplacement,,>Intervention>Equipment repair/ replacement,Equipment repair/ replacement,NA,>Intervention>Réparation/remplacement de l’équipement,Réparation/remplacement de l’équipement ,s.o.,>Intervención>Reparación/sustitución de los equipos,Reparación/sustitución de los equipos,NA,>Вмешательство> Ремонт/замена оборудования,Ремонт/замена оборудования,NA
15,equipmentVerificationCalibration,,>Intervention>Equipment verification/ calibration,Equipment verification/ calibration,NA,>Intervention>Vérification/étalonnage de l’équipement,Vérification/étalonnage de l’équipement ,s.o.,>Intervención>Verificación/calibrado de los equipos,Verificación/calibrado de los equipos,NA,>Вмешательство> Проверка/калибровка оборудования,Проверка/калибровка оборудования,NA
16,personnelAbsence,,>Intervention>Personnel absent,Personnel absent,NA,>Intervention>Absence du personnel,Absence du personnel,s.o.,>Intervención>Ausencia de personal,Ausencia de personal,NA,>Вмешательство> Отсутствующий персонал,Отсутствующий персонал,NA
17,infrastructureWorks,,>Intervention>Infrastructure works,Infrastructure works,NA,>Intervention>Travaux d’infrastructure,Travaux d’infrastructure,s.o.,>Intervención>Obras de infraestructura,Obras de infraestructura,NA,>Вмешательство> Инфраструктурные работы,Инфраструктурные работы,NA
18,inspectionAuditing,,>Intervention>Inspection/ auditing,Inspection/ auditing,"Corrosion of components, seizing",>Intervention>Inspection/contrôle,Inspection/contrôle,"Corrosion des composants, grippage",>Intervención>Inspección/auditoría,Inspección/auditoría,"Corrosión de componentes, gripado",>Вмешательство> Инспекция/аудит,Инспекция/аудит,"Коррозия компонентов, заедание"
19,landUseChange,,>Intervention>Land use change,Land use change,NA,>Intervention>Changement d’affectation des terres,Changement d’affectation des terres,s.o.,>Intervención>Cambio en el uso de la tierra,Cambio en el uso de la tierra,NA,>Вмешательство> Изменение в землепользовании,Изменение в землепользовании,NA
20,plannedServiceOutage,,>Intervention>Planned service outage,Planned service outage,NA,>Intervention>Interruption prévue du service,Interruption prévue du service,s.o.,>Intervención>Interrupción del servicio planificada,Interrupción del servicio planificada,NA,>Вмешательство> Плановая остановка обслуживания,Плановая остановка обслуживания,NA
21,preventiveMaintenance,,>Intervention>Preventative maintenance,Preventative maintenance,NA,>Intervention>Maintenance préventive,Maintenance préventive,s.o.,>Intervención>Mantenimiento preventivo,Mantenimiento preventivo,NA,>Вмешательство> Профилактическое обслуживание,Профилактическое обслуживание,NA
22,roadWork,,>Intervention>Road work,Road work,NA,>Intervention>Travaux de voirie,Travaux de voirie,s.o.,>Intervención>Obras en carreteras,Obras en carreteras,NA,>Вмешательство> Дорожные работы,Дорожные работы,NA
23,theft,,>Intervention>Theft of equipment,Theft of equipment,NA,>Intervention>Vol d’équipement,Vol d’équipement,s.o.,>Intervención>Robo del equipo,Robo del equipo,NA,>Вмешательство> Кража оборудования,Кража оборудования,NA
24,unrestStrike,,>Intervention>Unrest/strike,Unrest/strike,NA,>Intervention>Troubles/grève,Troubles/grève,s.o.,>Intervención>Disturbios/huelga,Disturbios/huelga,NA,>Вмешательство> Беспорядки/забастовка,Беспорядки/забастовка,NA
25,urbanDevelopment,,>Intervention>Urban development,Urban development,NA,>Intervention>Développement urbain,Développement urbain,s.o.,>Intervención>Desarrollo urbano,Desarrollo urbano,NA,>Вмешательство> Городское развитие,Городское развитие,NA
26,vandalism,,>Intervention>Vandalism,Vandalism,NA,>Intervention>Vandalisme,Vandalisme,s.o.,>Intervención>Vandalismo,Vandalismo,NA,>Вмешательство>Вандализм,Вандализм,NA
27,vegetationTrimming,,>Intervention>Vegetation trimming/ cutting,Vegetation trimming/ cutting,NA,>Intervention>Tonte/taille/élagage ,Tonte/taille/élagage,s.o.,>Intervención>Corte/poda de la vegetación,Corte/poda de la vegetación,NA,>Вмешательство> Стрижка/обрезание растительности,Стрижка/обрезание растительности,NA
28,cycloneTornado,,>Incident>Environmental>Cyclone/tornado,Cyclone/tornado,NA,>Incident>Environnemental>Cyclone/tornade,Cyclone/tornade,s.o.,>Incidente>Ambiental>Ciclón/tornado,Ciclón/tornado,NA,>Инцидент>Экологический>Циклон/торнадо,Циклон/торнадо,NA
29,dustSandStorm,,>Incident>Environmental>Dust/sand storm,Dust/sand storm,NA,>Incident>Environnemental>Tempête de poussière/de sable,Tempête de poussière/de sable,s.o.,>Incidente>Ambiental>Tormenta de polvo/arena,Tormenta de polvo/arena,NA,>Инцидент>Экологический> Пыль/песчаная буря,Пыль/песчаная буря,NA
30,extremeCold,,>Incident>Environmental>Extreme cold,Extreme cold,NA,>Incident>Environnemental>Épisode de froid extrême,Épisode de froid extrême,s.o.,>Incidente>Ambiental>Frío extremo,Frío extremo,NA,>Инцидент>Экологический> Экстремальный холод,Экстремальный холод,NA
31,extremeHeat,,>Incident>Environmental>Extreme heat,Extreme heat,NA,>Incident>Environnemental>Canicule,Canicule,s.o.,>Incidente>Ambiental>Calor extremo,Calor extremo,NA,>Инцидент>Экологический> Экстремальная жара,Экстремальная жара,NA
32,hail,,>Incident>Environmental>Hail,Hail,NA,>Incident>Environnemental>Grêle,Grêle,s.o.,>Incidente>Ambiental>Granizo,Granizo,NA,>Инцидент>Экологический>Град,Град,NA
33,flooding,,>Incident>Environmental>Heavy precipitation/flooding,Heavy precipitation/flooding,NA,>Incident>Environnemental>Fortes précipitations/inondation,Fortes précipitations/inondation,s.o.,>Incidente>Ambiental>Precipitaciones fuertes/inundaciones,Precipitaciones fuertes/inundaciones,NA,>Инцидент>Экологический> Сильные осадки/наводнение,Сильные осадки/наводнение,NA
34,windDebris,,>Incident>Environmental>High wind/ blowing debris,High wind/ blowing debris,NA,>Incident>Environnemental>Grand vent/débris soufflés,Grand vent/débris soufflés,s.o.,>Incidente>Ambiental>Viento fuerte / objetos volando,Viento fuerte / objetos volando,NA,>Инцидент>Экологический> Высокая скорость ветра/падающие обломки,Высокая скорость ветра/падающие обломки,NA
35,snowBlizzardIcing,,>Incident>Environmental>Snow/blizzard/icing,Snow/blizzard/icing,NA,>Incident>Environnemental>Neige/blizzard/givrage,Neige/blizzard/givrage,s.o.,>Incidente>Ambiental>Nevadas/venticas/engelamiento,Nevadas/venticas/engelamiento,NA,>Инцидент>Экологический> Снег/Близзард/Обледенение,Снег/Близзард/ Обледенение,NA
36,thunderstormLightning,,>Incident>Environmental>Thunderstorm/ lightning strike,Thunderstorm/ lightning strike,NA,>Incident>Environnemental>Orage/foudre,Orage/foudre,s.o.,>Incidente>Ambiental>Tormenta / descarga eléctrica,Tormenta / descarga eléctrica,NA,>Инцидент>Экологический> Гроза/удар молнии,Гроза/удар молнии,NA
37,magneticStorm,,>Incident>Fire>Magnetic storm,Magnetic storm,NA,>Incident>Incendie>Tempête magnétique,Tempête magnétique,s.o.,>Incidente>Fuego>Tormenta magnética,Tormenta magnética,NA,>Инцидент>Пожар>Магнитная буря,Магнитная буря,NA
38,solarFlares,,>Incident>Fire>Solar flares,Solar flares,NA,>Incident>Incendie>Éruption solaire,Éruption solaire,s.o.,>Incidente>Fuego>Erupciones solares,Erupciones solares,NA,>Инцидент>Пожар> Вспышки на солнце,Вспышки на солнце,NA
39,avalanche,,>Incident>Severe weather>Avalanche,Avalanche,NA,>Incident>Phénomène météorologique violent>Avalanche,Avalanche,s.o.,>Incidente>Fenómenos meteorológicos extremos>Avalancha,Avalancha,NA,>Инцидент>Суровая погода> Снежная лавина,Снежная лавина,NA
40,biologicalFouling,,>Incident>Severe weather>Biological fouling,Biological fouling,NA,>Incident>Phénomène météorologique violent>Encrassement biologique,Encrassement biologique,s.o.,>Incidente>Fenómenos meteorológicos extremos>Obstrucción biológica,Obstrucción biológica,NA,>Инцидент>Суровая погода> Биологическое загрязнение,Биологическое загрязнение,NA
41,biomassBurningUnplanned,,>Incident>Severe weather>Biomass burning (unplanned),Biomass burning (unplanned),NA,>Incident>Phénomène météorologique violent>Combustion de la biomasse (imprévue),Combustion de la biomasse (imprévue),s.o.,>Incidente>Fenómenos meteorológicos extremos>Quema de biomasa (fortuita),Quema de biomasa (fortuita),NA,>Инцидент>Суровая погода> Сжигание биомассы (незапланированное),Сжигание биомассы (незапланированное),NA
42,corrosion,,>Incident>Severe weather>Corrosion,Corrosion,NA,>Incident>Phénomène météorologique violent>Corrosion,Corrosion,s.o.,>Incidente>Fenómenos meteorológicos extremos>Corrosión,Corrosión,NA,>Инцидент>Суровая погода> Коррозия,Коррозия,NA
43,earthQuake,,>Incident>Severe weather>Earthquake,Earthquake,NA,>Incident>Phénomène météorologique violent>Séisme,Séisme,s.o.,>Incidente>Fenómenos meteorológicos extremos>Terremoto,Terremoto,NA,>Инцидент>Суровая погода> Землетрясение,Землетрясение,NA
44,erosion,,>Incident>Severe weather>Erosion,Erosion,NA,>Incident>Phénomène météorologique violent>Érosion,Érosion,s.o.,>Incidente>Fenómenos meteorológicos extremos>Erosión,Erosión,NA,>Инцидент>Суровая погода> Эрозия,Эрозия,NA
45,guanoFouling,,>Incident>Severe weather>Guano fouling,Guano fouling,NA,>Incident>Phénomène météorologique violent>Encrassement par guano ,Encrassement par guano ,s.o.,>Incidente>Fenómenos meteorológicos extremos>Obstrucción por guano,Obstrucción por guano,NA,>Инцидент>Суровая погода> Загрязнение гуано,Загрязнение гуано,NA
46,infestation,,>Incident>Severe weather>Insect/animal infestation,Insect/animal infestation,NA,>Incident>Phénomène météorologique violent>Infestation d’insectes/d’animaux,Infestation d’insectes/d’animaux,s.o.,>Incidente>Fenómenos meteorológicos extremos>Infestación por insectos/animales,Infestación por insectos/animales,NA,>Инцидент>Суровая погода> Заражение насекомыми/животными,Заражение насекомыми/животными,NA
47,landslide,,>Incident>Severe weather>Land slide/mudslide,Land slide/mudslide,Hazard event,>Incident>Phénomène météorologique violent>Glissement de terrain/coulée de boue,Glissement de terrain/coulée de boue,Phénomène dangereux,>Incidente>Fenómenos meteorológicos extremos>Deslizamiento de tierras / deslizamiento de lodos,Deslizamiento de tierras / deslizamiento de lodos,Fenómeno peligroso,>Инцидент>Суровая погода> Оползень/грязевой оползень,Оползень/грязевой оползень,Опасное явление
48,pollution,,>Incident>Severe weather>Pollution,Pollution,NA,>Incident>Phénomène météorologique violent>Pollution,Pollution,s.o.,>Incidente>Fenómenos meteorológicos extremos>Contaminación,Contaminación,NA,>Инцидент>Суровая погода> Загрязнение,Загрязнение,NA
49,stormSurge,,>Incident>Severe weather>Storm surge,Storm surge,NA,>Incident>Phénomène météorologique violent>Onde de tempête ,Onde de tempête,s.o.,>Incidente>Fenómenos meteorológicos extremos>Marea meteorológica,Marea meteorológica,NA,>Инцидент>Суровая погода> Штормовой нагон,Штормовой нагон,NA
50,tsunami,,>Incident>Severe weather>Tsunami,Tsunami,NA,>Incident>Phénomène météorologique violent>Tsunami,Tsunami,s.o.,>Incidente>Fenómenos meteorológicos extremos>Tsunami,Tsunami,NA,>Инцидент>Суровая погода> Цунами,Цунами,NA
51,volcanicEruption,,>Incident>Severe weather>Volcanic eruption/ Ash,Volcanic eruption/ Ash,NA,>Incident>Phénomène météorologique violent>Éruption volcanique/cendres,Éruption volcanique/cendres,s.o.,>Incidente>Fenómenos meteorológicos extremos>Erupción/ceniza volcánica,Erupción/ceniza volcánica,NA,>Инцидент>Суровая погода> Вулканическое извержение/ пепел,Вулканическое извержение/пепел,NA
52,cyberAttack,,>Incident>Space weather>Cyber security penetration/ virus/ worm,Cyber security penetration/ virus/ worm,NA,>Incident>Phénomène météorologique spatial>Faille de sécurité informatique/virus/ver,Faille de sécurité informatique/virus/ver,s.o.,>Incidente>Meteorología espacial>Penetración/virus/gusanos en la seguridad cibernética,Penetración/virus/gusanos en la seguridad cibernética,NA,>Инцидент>Космическая погода>Нарушение киберзащиты/вирус/червь,Нарушение киберзащиты/вирус/ червь,NA
53,dataCommOutage,,>Incident>Space weather>Data communications outage,Data communications outage,NA,>Incident>Phénomène météorologique spatial>Interruption de la transmission des données,Interruption de la transmission des données,s.o.,>Incidente>Meteorología espacial>Corte en las comunicaciones por datos,Corte en las comunicaciones por datos,NA,>Инцидент>Космическая погода> Остановка передачи данных,Остановка передачи данных,NA
54,malfunction,,>Incident>Space weather>Equipment malfunction,Equipment malfunction,NA,>Incident>Phénomène météorologique spatial>Dysfonctionnement de l’équipection,Dysfonctionnement de l’équipe,s.o.,>Incidente>Meteorología espacial>Fallo del equipo,Fallo del equipo,NA,>Инцидент>Космическая погода> Неисправность оборудования,Неисправность оборудования,NA
55,groundClutter,,>Incident>Space weather>Ground clutter/ signal blockage/ degradation,Ground clutter/ signal blockage/ degradation,NA,>Incident>Phénomène météorologique spatial>Écho du terrain/blocage du signal/dégradation,Écho du terrain/blocage du signal/dégradation,s.o.,>Incidente>Meteorología espacial>Ecos en el suelo / bloqueo de la señal / degradación,Ecos en el suelo / bloqueo de la señal / degradación,NA,>Инцидент>Космическая погода> Отражение от земли/блокировка/ ухудшение сигнала,Отражение от земли/блокировка/ ухудшение сигнала,NA
56,hardwareFailure,,>Incident>Space weather>Hardware failure,Hardware failure,NA,>Incident>Phénomène météorologique spatial>Panne de matériel,Panne de matériel,s.o.,>Incidente>Meteorología espacial>Fallo del equipo informático,Fallo del equipo informático,NA,>Инцидент>Космическая погода> Поломка аппаратного оборудования,Поломка аппаратного оборудования,NA
57,powerOutage,,>Incident>Space weather>Power outage,Power outage,NA,>Incident>Phénomène météorologique spatial>Coupure de courant,Coupure de courant,s.o.,>Incidente>Meteorología espacial>Corte de energía,Corte de energía,NA,>Инцидент>Космическая погода> Остановка энергоснабжения,Остановка энергоснабжения,NA
58,radioFrequencyInterference,,>Incident>Space weather>Radio frequency interference,Radio frequency interference,NA,>Incident>Phénomène météorologique spatial>Interférence des radiofréquences,Interférence des radiofréquences,s.o.,>Incidente>Meteorología espacial>Interferencias en las radiofrecuencias,Interferencias en las radiofrecuencias,NA,>Инцидент>Космическая погода> Радиочастотные помехи,Радиочастотные помехи,NA
59,softwareFailure,,>Incident>Space weather>Software failure,Software failure,NA,>Incident>Phénomène météorologique spatial>Panne de logiciel,Panne de logiciel,s.o.,>Incidente>Meteorología espacial>Fallo del programa informático,Fallo del programa informático,NA,>Инцидент>Космическая погода> Сбой программного обеспечения,Сбой программного обеспечения,NA
